unixtime,IND1,IND13,IND263,IND277,IND673,IND2823
1488326400,1.0,1218.09,0.0,0.0,0.0,0.0
1488326460,1.0,1494.78,0.0,0.0,0.0,0.0
1488326520,1.0,1842.71,0.0,0.0,0.0,0.0
1488326580,1.0,1998.83,0.0,0.0,0.0,0.0
1488326640,1.0,1950.06,0.0,0.0,0.0,0.0
1488326700,1.0,1982.51,0.0,0.0,0.0,0.0
1488326760,1.0,2015.42,0.0,0.0,0.0,0.0
1488326820,1.0,2014.71,0.0,0.0,0.0,0.0
1488326880,1.0,1944.68,0.0,0.0,0.0,0.0
1488326940,1.0,1905.48,0.0,0.0,0.0,0.0
1488327000,1.0,1560.53,0.0,0.0,0.0,0.0
1488327060,1.0,1531.93,0.0,0.0,0.0,0.0
1488327120,1.0,1244.06,0.0,0.0,0.0,0.0
1488327180,1.0,1168.28,0.0,0.0,0.0,0.0
1488327240,1.0,1034.28,0.0,0.0,0.0,0.0
1488327300,1.0,1171.78,0.0,0.0,0.0,0.0
1488327360,1.0,1235.58,0.0,0.0,0.0,0.0
1488327420,1.0,814.742,0.0,0.0,0.0,0.0
1488327480,1.0,707.877,0.0,0.0,0.0,0.0
1488327540,1.0,641.4780000000002,0.0,0.0,0.0,0.0
1488327600,1.0,663.13,0.0,0.0,0.0,0.0
1488327660,1.0,704.85,0.0,0.0,0.0,0.0
1488327720,1.0,819.35,0.0,0.0,0.0,0.0
1488327780,1.0,1120.68,0.0,0.0,0.0,0.0
1488327840,1.0,1292.04,0.0,0.0,0.0,0.0
1488327900,1.0,1411.34,0.0,0.0,0.0,0.0
1488327960,1.0,1571.4,0.0,0.0,0.0,0.0
1488328020,1.0,1567.28,0.0,0.0,0.0,0.0
1488328080,1.0,1612.16,0.0,0.0,0.0,0.0
1488328140,1.0,1520.69,0.0,0.0,0.0,0.0
1488328200,1.0,1390.25,0.0,0.0,0.0,0.0
1488328260,1.0,1260.74,0.0,0.0,0.0,0.0
1488328320,1.0,1340.6,0.0,0.0,0.0,0.0
1488328380,1.0,1143.54,0.0,0.0,0.0,0.0
1488328440,1.0,1118.58,0.0,0.0,0.0,0.0
1488328500,1.0,1184.83,0.0,0.0,0.0,0.0
1488328560,1.0,1034.07,0.0,0.0,0.0,0.0
1488328620,1.0,1001.41,0.0,0.0,0.0,0.0
1488328680,1.0,931.592,0.0,0.0,0.0,0.0
1488328740,1.0,1010.56,0.0,0.0,0.0,0.0
1488328800,1.0,806.872,0.0,0.0,0.0,0.0
1488328860,1.0,828.857,0.0,0.0,0.0,0.0
1488328920,1.0,549.445,0.0,0.0,0.0,0.0
1488328980,1.0,545.045,0.0,0.0,0.0,0.0
1488329040,1.0,510.29,0.0,0.0,0.0,0.0
1488329100,1.0,601.318,0.0,0.0,0.0,0.0
1488329160,1.0,639.8,0.0,0.0,0.0,0.0
1488329220,1.0,679.927,0.0,0.0,0.0,0.0
1488329280,1.0,588.525,0.0,0.0,0.0,0.0
1488329340,1.0,750.7280000000002,0.0,0.0,0.0,0.0
1488329400,1.0,880.803,0.0,0.0,0.0,0.0
1488329460,1.0,754.1619999999998,0.0,0.0,0.0,0.0
1488329520,1.0,727.4680000000002,0.0,0.0,0.0,0.0
1488329580,1.0,732.685,0.0,0.0,0.0,0.0
1488329640,1.0,1017.87,0.0,0.0,0.0,0.0
1488329700,1.0,1170.63,0.0,0.0,0.0,0.0
1488329760,1.0,1179.93,0.0,0.0,0.0,0.0
1488329820,1.0,1125.47,0.0,0.0,0.0,0.0
1488329880,1.0,986.687,0.0,0.0,0.0,0.0
1488329940,1.0,1066.18,0.0,0.0,0.0,0.0
1488330000,1.0,1166.55,0.0,0.0,0.0,0.0
1488330060,1.0,1190.46,0.0,0.0,0.0,0.0
1488330120,1.0,1334.8,0.0,0.0,0.0,0.0
1488330180,1.0,1547.21,0.0,0.0,0.0,0.0
1488330240,1.0,1371.15,0.0,0.0,0.0,0.0
1488330300,1.0,1430.72,0.0,0.0,0.0,0.0
1488330360,1.0,1387.48,0.0,0.0,0.0,0.0
1488330420,1.0,1463.47,0.0,0.0,0.0,0.0
1488330480,1.0,1436.77,0.0,0.0,0.0,0.0
1488330540,1.0,1501.93,0.0,0.0,0.0,0.0
1488330600,1.0,1501.84,0.0,0.0,0.0,0.0
1488330660,1.0,1620.65,0.0,0.0,0.0,0.0
1488330720,1.0,1633.85,0.0,0.0,0.0,0.0
1488330780,1.0,1476.81,0.0,0.0,0.0,0.0
1488330840,1.0,1572.13,0.0,0.0,0.0,0.0
1488330900,1.0,1419.65,0.0,0.0,0.0,0.0
1488330960,1.0,1387.46,0.0,0.0,0.0,0.0
1488331020,1.0,1484.84,0.0,0.0,0.0,0.0
1488331080,1.0,1422.35,0.0,0.0,0.0,0.0
1488331140,1.0,1472.08,0.0,0.0,0.0,0.0
1488331200,1.0,1356.02,0.0,0.0,0.0,0.0
1488331260,1.0,1258.6,0.0,0.0,0.0,0.0
1488331320,1.0,1161.01,0.0,0.0,0.0,0.0
1488331380,1.0,1118.98,0.0,0.0,0.0,0.0
1488331440,1.0,1154.22,0.0,0.0,0.0,0.0
1488331500,1.0,1053.44,0.0,0.0,0.0,0.0
1488331560,1.0,1192.92,0.0,0.0,0.0,0.0
1488331620,1.0,1133.94,0.0,0.0,0.0,0.0
1488331680,1.0,1197.39,0.0,0.0,0.0,0.0
1488331740,1.0,1189.93,0.0,0.0,0.0,0.0
1488331800,1.0,1264.44,0.0,0.0,0.0,0.0
1488331860,1.0,1175.45,0.0,0.0,0.0,0.0
1488331920,1.0,1152.71,0.0,0.0,0.0,0.0
1488331980,1.0,1146.48,0.0,0.0,0.0,0.0
1488332040,1.0,1145.56,0.0,0.0,0.0,0.0
1488332100,1.0,1298.22,0.0,0.0,0.0,0.0
1488332160,1.0,1215.25,0.0,0.0,0.0,0.0
1488332220,1.0,1248.03,0.0,0.0,0.0,0.0
1488332280,1.0,1103.83,0.0,0.0,0.0,0.0
1488332340,1.0,1021.89,0.0,0.0,0.0,0.0
1488332400,1.0,1135.87,0.0,0.0,0.0,0.0
