DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM157,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491609600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.019,,,,,,,,,-1.3269196154378697E-4,,,,1.2,,2.7,,,,,,29.8249,,55.92100000000001,,29.3638,1050.11,,19.6878,,-101.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491610200,1.0,60.3337,36.7,37.4743,73.6673,,,3.495,0.9709020105881169,-2.32483,,,,,,,,,,,,,,,,,,,,,,43.8912,71.78685,50.1427,,,,,9.051299999999998,59.04454862049335,0.09599375731564572,0.0012234228123711097,-1.3269196154378697E-4,1.0,1.0,2.3,4.699999999999999,4.699999999999999,-94.7,1049.96,,,189.334,29.8249,29.767033333333334,70.77615,83.91743333333332,29.02655,1050.045,1049.9971428571428,19.6629,19.48322857142857,-105.6,-94.7,28.6893,0.8796519074878497,0.6207304742324682,0.10532933948757014,0.31330662724023384,0.13685793638737756,0.9709020105881169,0.9525009301766483,0.8318765635658274,0.8318765635658274,,,,0.020508219987110818,0.013418321303506118,,3.8445,73.6673,,19.638,,,-110.73333333333332,0.31330662724023384,0.24069618502430057,0.020508219987110818,19.638,,,28.6893,73.6673,3.8445,,189.25,62.951,,-78.2232167562604,,,51.0286853779702,42.73962407660182,63.46784059755401,3.3422086791071406,32.7319877151038,,0.020508219987110818,,,0.13685793638737756,0.8318765635658274,0.10532933948757014,0.8796519074878497,0.9709020105881169,,,,0.335954306178175,,,0.7996133695490202,0.4626959334651188,0.3024765439924238,0.3349607737092699,0.40399202782579513
1491610800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.648,,,,,,,,,-0.02802344890658295,0.0012234228123711097,1.0,1.0,1.1,,2.4000000000000004,,,,,189.25,29.02655,,19.558149999999998,,28.6893,1050.0149999999999,,19.6629,,-90.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491611400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4877,,,,,,,,,-0.09339147680796875,-0.02802344890658295,1.0,1.0,1.2,,2.5,,,,,188.715,29.0899,,19.558149999999998,,28.6893,1049.9850000000001,,19.634149999999998,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491612000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4877,,,,,,,,,-0.10935200589496243,-0.09339147680796875,1.0,1.0,2.3,,4.4,,,,,189.276,28.75265,,-1.601915,,28.3292,1049.9850000000001,,19.634149999999998,,-85.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491612600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4877,,,,,,,,,-0.06811519782175447,-0.10935200589496243,1.0,1.0,3.6,,7.0,,,,,188.962,28.50925,,-4.68658,,28.0252,1049.915,,19.634149999999998,,-85.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491613200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4877,,,,,,,,,-0.1354982133570267,-0.06811519782175447,1.0,1.0,2.7,,5.4,,,,,189.202,28.1772,,-4.68658,,27.731,1049.82,,19.5939,,-87.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491613800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.47215,,,,,,,,,-0.055308611683797755,,,,2.0,,4.3,,,,,,27.58185,,-6.260249999999999,,26.8345,1049.9850000000001,,19.33685,,-84.44999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491614400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2387,,,,,,,,,-0.07841582715880606,-0.055308611683797755,1.0,1.0,2.4,,4.4,,,,,189.416,27.6624,,-4.29183,,26.8345,931.24,,19.5939,,-85.94999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.388,,,,,,,,,-0.035242870565986115,-0.07841582715880606,1.0,1.0,1.8,,3.5,,,,,189.323,27.21415,,-4.02658,,26.2783,799.5409999999999,,19.5939,,-85.94999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
