DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1491696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.86195,,,,,,,,,,,,,0.0014678482109869325,0.002866730875256219,1.0,1.0,2.0,,4.1,,,,,189.016,29.9075,,16.5052,,30.0371,635.982,,21.477249999999998,,-97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491696600,1.0,58.9012,37.3362,28.036,64.8148,,,3.69533,0.9796200645894048,1.4835,,,,,,,,,,,,,,,,,,,,,,40.5037,62.2302,,,,,44.4593,,,,,8.8887,113.31181094970462,0.04159978653092222,0.0015427920705489183,0.0014678482109869325,1.0,1.0,1.8,3.7,3.7,-86.7,1050.04,,,188.638,29.9252,30.1257,28.036,46.31346666666667,29.9252,1049.85,1049.9399999999998,21.0365,20.896833333333333,-97.9,-86.7,30.045949999999998,0.7018214055593585,0.5963571888812831,0.6124873610710005,0.6124873610710005,0.0037359609600257793,0.971515286404395,0.0037359609600257793,0.5862037461215585,0.5862037461215585,,,,,,0.11037420027405605,0.11037420027405605,,3.41033,64.8148,,,21.0365,,,-95.43333333333334,0.6124873610710005,0.5963571888812831,0.11037420027405605,21.0365,,,29.9252,64.8148,3.41033,,189.698,63.017,,-78.74788208192086,,,47.13839752305552,40.72755280295458,,24.742345714026456,3.625352249906177,33.43008564546168,,0.11037420027405605,,,0.0037359609600257793,0.5862037461215585,,0.6124873610710005,0.7018214055593585,0.971515286404395,,,1.7081063342386322,,,0.5562910515215924,0.5402902576099013,,0.9779209450049462,0.3320111000926937,0.6972273236677203
1491697200,1.0,59.334,37.1037,27.5282,65.836,37.81371360827881,,3.71017,0.979435880389236,1.31683,-0.1666700000000001,0.0,0.16599999999999682,0.0,0.8547000000000011,0.0,0.4328000000000003,0.0,0.4649999999999963,0.0,0.14470000000000027,0.0,-0.03999999999996362,0.0,0.058499999999998664,-0.014330000000000176,0.0,0.0,37.3362,-0.2324999999999946,0.0,40.6697,62.91135,,,,,45.314,0.014840000000000408,0.0,1.0211999999999932,0.0,8.802499999999998,83.75133147942057,0.07755447585394583,0.0013907546229016351,0.0015427920705489183,1.0,1.0,2.4,4.5,4.5,-86.3,1050.0,0.4000000000000057,0.0,189.698,29.9837,30.090200000000003,28.036,41.61715,29.9252,1049.8899999999999,1049.955,21.10885,20.967925,-89.4,-86.3,29.95445,0.7230688533891582,0.5963571888812831,0.43826845349549104,0.6124873610710005,0.015342903035819973,0.9651713814974477,0.015342903035819973,0.6094032240661232,0.6094032240661232,,,,,,0.19963587720396492,0.1773204579714877,0.010433774155985655,3.396,65.3254,,,21.1812,,37.3362,-93.15,0.6124873610710005,0.5538622932216837,0.19963587720396492,21.1812,-0.5078000000000031,0.0,29.9837,65.836,3.396,58.9012,188.79,63.482,37.81371360827881,-80.61631915643318,,,47.35340928237446,40.81336101757608,,32.86896997782566,3.631231038164049,33.39621726529302,0.010433774155985655,0.19963587720396492,,,0.015342903035819973,0.6094032240661232,,0.43826845349549104,0.7230688533891582,0.9651713814974477,,0.7546012238352297,1.4979149088359212,,,0.4015353407531612,0.3939531157928062,,0.5791371686290337,0.4123192137029646,0.9541073159799175
1491697800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5925,,,,,,,,,,,,,0.002256818821997293,0.0013907546229016351,1.0,1.0,1.9,,4.0,,,,,188.79,30.0752,,33.168,,29.9837,1049.92,,21.10885,,-88.05000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491698400,1.0,59.0158,36.6567,55.6598,67.8488,,,3.41367,0.9792516961890672,0.304167,,,,,,,,,,,,,,,,,,,,,,41.2328,64.20365000000001,,,,,46.872,,,,,9.427500000000002,80.5486642924305,0.09907881684666651,0.0022692114618738136,0.002256818821997293,1.0,1.0,3.4,6.9,6.9,-96.6,1049.93,,,188.713,30.0752,30.232650000000003,33.168,37.8848,30.2903,1049.93,1049.95,21.10885,21.05984,-88.05000000000001,-96.6,30.41935,0.8981853891236126,0.5963571888812831,0.255554468154717,0.6124873610710005,0.1183252310635515,0.9470442271327596,0.1183252310635515,0.6675424638842862,0.6675424638842862,,,,,,0.05915769276319023,0.15500503873901048,,3.94167,66.16653333333332,,,21.4275,,,-91.875,0.6124873610710005,0.20362922175277487,0.05915769276319023,21.4275,,,30.855,67.8488,3.94167,,189.67,62.6858,,-85.98211434064115,,,47.811798092348084,41.05700652506875,,69.10083548738695,3.236734809914886,33.42690151013045,,0.05915769276319023,,,0.1183252310635515,0.6675424638842862,,0.255554468154717,0.8981853891236126,0.9470442271327596,,,0.9861597874508329,,,0.12476586603057387,0.1266092727887879,,0.23979756878316805,0.5221975395319833,1.1652876633221796
1491699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8148,,,,,,,,,,,,,6.519951541768483E-4,0.0022692114618738136,1.0,1.0,3.1,,6.2,,,,,189.67,29.95445,,27.7821,,30.2903,1049.93,,21.2587,,-86.80000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491699600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5925,,,,,,,,,,,,,-0.050888608676966145,,,,1.8,,3.5,,,,,,29.4337,,-10.4992,,29.4337,1037.625,,21.2806,,-86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491700200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34965,,,,,,,,,,,,,0.039221928887149274,-0.050888608676966145,1.0,1.0,2.2,,4.1,,,,,189.495,30.2787,,38.3,,29.8562,1049.92,,21.10885,,-86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491700800,1.0,58.2868,35.9132,87.6523,68.8895,,,3.60433,0.9790675119888983,-4.02333,,,,,,,,,,,,,,,,,,,,,,42.4152,67.35605,,,,,49.1532,,,,,12.0018,210.98397748898475,0.049890372842101224,0.009007702967075957,0.039221928887149274,1.0,1.0,2.7,5.2,5.2,-90.8,1050.04,,,189.559,30.2903,30.971249999999998,41.3092,71.65605,30.2787,1049.93,1049.965,20.9976,20.730816666666666,-89.8,-90.8,31.0875,0.7770220405455915,0.5857334649663832,0.9611210622276994,0.8739626369385247,0.8402391123306658,0.914123290202788,0.6597606420138873,0.7708833457713187,0.7450481252995605,,,,,,0.036680044826879185,0.13268961950653327,,3.64417,66.847275,,,19.0857,,,-93.69999999999999,0.8739626369385247,0.4459559189088169,0.036680044826879185,19.0857,,,31.0875,68.8895,3.64417,,189.118,61.5033,,-78.2355599838271,,,48.53558804340402,41.653741627405886,,41.54452913590381,3.5059399229182437,33.19511528885928,,0.036680044826879185,,,0.8402391123306658,0.7708833457713187,,0.9611210622276994,0.7770220405455915,0.914123290202788,,,0.045272888304917804,,,0.5451289643810151,0.6651759188136822,,0.4957429526242653,0.3660239534299607,0.6638201213152763
1491701400,1.0,58.4043,35.735,113.637,69.7053,36.23867900197138,,3.15733,0.9788833277887296,6.53833,10.56166,0.0,0.013100000000001444,0.0,0.2920000000000016,0.0,0.11749999999999972,0.0,0.14170000000000016,0.0,-0.4299999999999997,0.0,-0.25,0.0,0.08670000000000044,0.5876600000000005,0.0,0.0,35.9132,-0.1782000000000039,0.0,42.4283,67.9188,,,,,49.4452,-0.44700000000000006,0.0,0.8157999999999959,0.0,12.5185,113.97294914660098,0.1238100301760704,0.0033127151862977575,0.009007702967075957,1.0,1.0,6.0,11.3,11.3,-115.2,1049.79,-24.400000000000006,0.0,189.118,30.566850000000002,31.038899999999998,48.4845,85.6497,31.0875,1049.93,1049.9399999999998,20.9976,20.434371428571428,-90.3,-115.2,31.13085,0.8205144404694302,0.5751097410514834,0.7800776362222716,0.8705993492249855,0.8335136163975105,0.8989053099057079,0.8368763643640882,0.7610630423915188,0.7659731940814187,,,,,,0.01083545082486272,0.11037420027405605,0.04475686891129275,4.23183,67.41887999999999,,,18.6557,,35.9132,-100.86666666666667,0.8705993492249855,0.35897111906113954,0.01083545082486272,18.6557,25.984700000000004,0.0,31.1742,69.7053,4.23183,58.2868,189.318,61.645,36.23867900197138,-89.88792962889227,,,48.850553253928354,41.849712238305116,,99.7052378225566,3.048201694820361,33.22480807663256,0.04475686891129275,0.01083545082486272,,,0.8335136163975105,0.7610630423915188,,0.7800776362222716,0.8205144404694302,0.8989053099057079,,1.0426843727201762,0.3848776703512254,,,0.4704117461041055,0.7891605232572245,,0.8807479592912688,0.4382854433345178,0.3080391426262737
