DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1492214400,1.0,61.1353,29.6413,207.362,70.4032,29.65203168873674,,2.36133,0.44452811292838346,5.935,-2.156670000000001,0.0,-0.5279999999999987,0.0,-0.7043000000000035,0.0,-0.04200000000000159,0.0,0.39450000000000074,0.0,-0.028699999999998838,0.0,19.190000000000055,0.0,-1.858699999999999,1.4381599999999999,0.0,0.0,29.7583,-0.11699999999999733,0.0,42.1077,74.5518,,0.41810624128521157,,,0.6531518915642435,0.22210052959252724,0.07550744617315186,0.5382392303330004,51.1025,-1.20667,0.0,0.4084000000000003,0.0,12.338000000000001,97.60485677706606,0.0890350148460758,0.1166707054918337,0.0013141686187249097,1.0,1.0,7.1,13.3,13.3,-123.3,1069.16,-33.8,0.0,189.175,25.37435,25.191460000000003,171.00150000000002,188.15886,26.5322,1409.845,1403.7745454545454,14.333,14.528363636363634,-121.5,-123.3,25.89985,0.6811422035197652,0.649252311726,0.4617607696669997,0.8698497167501947,0.9244925538268481,0.5818937587147884,0.08302851416352952,0.7778994704074728,0.6844622659955,,,,,,0.006114062557318023,0.04907222804238025,0.8914950965735162,5.11583,76.78135,,,12.6325,,29.7583,-118.56,0.7311475626597391,0.6377155929604696,0.012228125114636047,12.6325,160.5977,0.0,24.9705,70.4032,5.11583,61.1773,188.89,63.455,29.65203168873674,-84.06914496918529,,,49.90538431203811,41.262941218385045,,212.45049359953904,2.301126550895266,29.29310086187767,0.34684810843575653,0.006114062557318023,,,0.9244925538268481,0.7778994704074728,,0.4617607696669997,0.6811422035197652,0.5818937587147884,0.525466178622699,0.6224674955888954,,,1.9259580785657853,1.5023177682831776,,0.6118153449890629,0.6647698398913269,0.36666684009926964
1492215000,1.0,61.2317,29.7388,266.396,70.902,29.498762036824406,,1.979,0.4398534233094038,-1.83617,-7.77117,0.0,-0.6465000000000032,0.0,-0.4262999999999977,0.0,0.0963999999999956,0.0,0.3171999999999997,0.0,-0.2242999999999995,0.0,25.5,0.0,-1.1891999999999996,0.3860000000000001,0.0,0.0,29.6413,0.09750000000000014,0.0,41.4612,72.2715,,0.3908861092226168,,,0.14754823376387427,0.24070055186174688,0.048695378319669524,0.41877612975500855,50.6762,-0.38233000000000006,0.0,0.4988000000000028,0.0,11.3731,100.77988655747015,0.04894298806033629,0.28743512150344913,0.1166707054918337,1.0,1.0,6.4,12.600000000000001,12.600000000000001,-135.0,1094.66,-11.700000000000003,0.0,188.89,25.37435,25.055780000000002,171.00150000000002,172.50506000000001,24.9705,1144.9450000000002,1350.6245454545453,13.70175,14.162718181818182,-121.5,-135.0,25.193666666666665,0.3137036974637044,0.649252311726,0.5812238702449914,0.7521665934180286,0.9513046216803305,0.6091138907773832,0.08302851416352952,0.7592994481382531,0.5988827903908441,,,,,,0.002904983000010533,0.04907222804238025,0.8914950965735162,5.50183,75.1153125,,,12.4082,,29.6413,-118.74000000000001,0.7311475626597391,0.6274073949274088,0.005809966000021066,12.4082,59.03400000000002,0.0,23.7813,70.902,5.50183,61.1353,189.97,63.7722,29.498762036824406,-82.36247466104209,,,49.172721872110536,40.864744627880505,,264.33449083918805,2.032456791665226,29.059738078623788,0.8524517662361257,0.002904983000010533,,,0.9513046216803305,0.7592994481382531,,0.5812238702449914,0.3137036974637044,0.6091138907773832,0.6300150148246051,0.27030246042144657,,,1.5348763856167706,1.1317586389067469,,0.88907126430725,0.6800244153119096,0.2254027654085687
1492215600,1.0,61.0765,29.7203,238.93,71.126,29.5949066692746,,2.01,0.42508621402004687,-1.8895,-0.05332999999999988,0.0,-0.518499999999996,0.0,-0.30000000000000426,0.0,-0.15519999999999357,0.0,-0.17539999999999623,0.0,-0.41020000000000145,0.0,-30.160000000000082,0.0,-0.3126000000000033,-0.16565999999999992,0.0,0.0,29.7388,-0.018499999999999517,0.0,40.9427,71.126,,0.3556121911175577,,,0.359699284535687,0.26479161176316024,0.032172500494223044,0.38094563907776935,50.3762,0.030999999999999694,0.0,0.22400000000000375,0.0,11.470699999999999,101.34321793497108,0.038730400268357265,0.2129575974247319,0.28743512150344913,1.0,1.0,5.6,11.399999999999999,11.399999999999999,-131.2,1064.5,3.8000000000000114,0.0,189.97,25.37435,24.965580000000003,171.42950000000002,178.98986000000002,23.7813,1081.91,1294.7245454545457,13.1929,13.788418181818182,-121.5,-131.2,24.0735,0.33855661748598104,0.6771132349719621,0.6190543609222307,0.7521665934180286,0.967827499505777,0.6443878088824423,0.08302851416352952,0.7352083882368398,0.5092505501833925,,,,,,0.0031363912177294205,0.04907222804238025,0.8719183372145057,5.33617,73.597525,,,11.998,,29.7388,-119.74000000000001,0.7311475626597391,0.6771132349719621,0.006272782435458841,11.998,-27.466000000000008,0.0,23.4687,71.126,5.33617,61.2317,189.212,63.5968,29.5949066692746,-79.45357421505707,,,48.514834059202684,40.541790128022996,,235.76318659361525,2.05252935668396,28.852000784278857,0.640300715464313,0.0031363912177294205,,,0.967827499505777,0.7352083882368398,,0.6190543609222307,0.33855661748598104,0.6443878088824423,0.714259029385784,0.41090146331683697,,,1.0294326401037637,0.8476975494678781,,0.5144180647193313,0.807212042213339,0.8078967371729131
1492216200,1.0,60.8328,29.7,222.59,71.184,29.57761629518683,,2.03983,0.4229517559920828,-0.603667,1.285833,0.0,-0.45870000000000033,0.0,-0.21170000000000044,0.0,-0.24370000000000402,0.0,-0.27600000000000335,0.0,-0.05919999999999881,0.0,-4.970000000000027,0.0,-0.007699999999999818,-0.022999999999999687,0.0,0.0,29.7203,-0.020300000000002427,0.0,40.484,71.126,,0.3378137265428538,,,0.3758710456344302,0.27935396696935944,0.02241018721254162,0.735475001104079,50.1645,0.029830000000000023,0.0,0.057999999999992724,0.0,11.522199999999998,93.73583879468455,0.060662278827893705,0.10764585817617955,0.2129575974247319,1.0,1.0,6.5,13.4,13.4,-122.2,1059.53,8.999999999999986,0.0,189.212,24.3759,24.50214,214.976,196.40846000000002,23.4687,1066.83,1238.2836363636363,12.688749999999999,13.437654545454546,-122.75,-122.2,23.57033333333333,0.43121741940309083,0.8424191146559155,0.26452499889592096,0.7521665934180286,0.9775898127874584,0.6621862734571462,0.07550744617315186,0.7206460330306406,0.48037018927803965,,,,,,0.006166208025097634,0.04907222804238025,0.8719183372145057,5.31317,72.254,,,11.9388,,29.7203,-120.24000000000001,0.735475001104079,0.8624348388061817,0.012332416050195269,11.9388,-16.340000000000003,0.0,23.461,71.184,5.31317,61.0765,188.982,63.3208,29.57761629518683,-83.40140174738588,,,47.713101791014935,40.09047924592461,,237.46520313063263,2.0527870117882694,28.659140640506955,0.6241289543655698,0.006166208025097634,,,0.9775898127874584,0.7206460330306406,,0.26452499889592096,0.43121741940309083,0.6621862734571462,0.7120785759311254,0.5457298180714861,,,0.5060303547427666,0.9520262653602334,,0.7263704264170345,0.6270603445341724,1.1998835085646837
1492216800,1.0,60.6393,29.6382,201.235,71.3187,29.565955385933236,,2.16933,0.41810624128521157,-2.87617,-2.2725030000000004,0.0,-0.33200000000000074,0.0,-0.1366999999999976,0.0,-0.19350000000000023,0.0,-0.23749999999999716,0.0,-0.31680000000000064,0.0,-8.3599999999999,0.0,0.1352000000000011,-0.14034000000000013,0.0,0.0,29.7,-0.06179999999999808,0.0,40.152,71.126,,0.32222433644760284,,,0.4815486355076358,0.31082302864771105,0.021745716812574978,0.6863195448919551,50.0278,0.12950000000000017,0.0,0.13470000000000937,0.0,11.9742,94.471327091007,0.046734379440267704,0.033576279807281444,0.10764585817617955,1.0,1.0,7.4,14.3,14.3,-118.2,1051.17,4.0,0.0,188.982,23.68875,24.351149999999997,214.976,197.2128833333333,23.4687,1062.0149999999999,1181.1336363636365,12.64685,13.0765,-122.75,-118.2,23.50863333333333,0.5052868430559275,0.8447036853471512,0.3136804551080449,0.6190543609222307,0.978254283187425,0.6777756635523972,0.060784234138894444,0.689176971352289,0.47890406151055964,,,,,,0.008022459485002366,0.030989242915130027,0.7292617075858857,5.17283,71.46900000000001,,,11.622,,29.7,-119.89999999999999,0.735475001104079,0.989426313888145,0.01604491897000473,11.622,-21.35499999999999,0.0,23.5962,71.3187,5.17283,60.8328,189.365,63.0833,29.565955385933236,-84.85892202338295,,,47.302493982641195,39.886390951453,,213.01172133016024,2.155977248578397,28.456103976992907,0.5184513644923642,0.008022459485002366,,,0.978254283187425,0.689176971352289,,0.3136804551080449,0.5052868430559275,0.6777756635523972,0.5820311692828779,0.41064674404958224,,,0.3093976425425885,0.8357992081284262,,0.7655940960198019,0.4439436824912004,1.2840515706147972
1492217400,1.0,60.4058,29.5385,246.476,71.4895,29.48391500019458,,1.92033,0.41756276027256867,-3.86783,-0.99166,0.0,-0.30219999999999914,0.0,-0.11359999999999815,0.0,-0.23349999999999937,0.0,-0.0887999999999991,0.0,-0.07779999999999987,0.0,32.309999999999945,0.0,-0.3893999999999984,0.33467,0.0,0.0,29.6382,-0.09970000000000212,0.0,39.8498,71.126,,0.3232215634993263,,,0.5188757984113936,0.31168755711996754,0.019019521861627253,0.837534848061193,49.9142,-0.2489999999999999,0.0,0.17079999999999984,0.0,11.662600000000001,91.22501978919696,0.06673445301861097,0.20436700207796032,0.033576279807281444,1.0,1.0,5.8,11.7,11.7,-120.2,1083.48,-2.0,0.0,189.365,23.532449999999997,23.747416666666666,230.76,230.49816666666663,23.461,1062.0149999999999,1126.9172727272728,12.5991,12.714245454545454,-122.75,-120.2,23.42133333333333,0.3336589871062712,0.8447036853471512,0.162465151938807,0.5812238702449914,0.9809804781383727,0.6767784365006737,0.060784234138894444,0.6883124428800325,0.3705093177318287,,,,,,0.005823329205102769,0.023257696944093655,0.6588113689696504,5.5075,71.08621250000002,,,11.5442,,29.6382,-125.01666666666667,0.837534848061193,0.6673179742125424,0.011646658410205539,11.5442,45.240999999999985,0.0,23.2068,71.4895,5.5075,60.6393,189.569,62.9945,29.48391500019458,-79.53789602947319,,,46.833730154619815,39.55828607885154,,270.1846495287778,1.9666747871999746,28.356649490908296,0.48112420158860636,0.005823329205102769,,,0.9809804781383727,0.6883124428800325,,0.162465151938807,0.3336589871062712,0.6767784365006737,0.6607738676415382,0.592620524547916,,,0.650786104257207,0.7243568550310535,,0.8621237300329669,0.4181246033687331,0.5357768313295639
1492218000,1.0,61.3262,29.4387,548.401,71.5408,29.378612232333083,60.839892396617024,1.934,0.41756276027256867,0.01,3.87783,0.0,-0.33200000000000074,0.0,-0.1372,0.0,0.9204000000000008,0.0,1.575499999999991,0.0,-0.23300000000000054,0.0,286.8899999999999,0.0,-0.30930000000000035,1.5,0.0,0.0,29.5385,-0.09979999999999833,0.0,39.5178,71.126,0.12031956669447319,0.32215512253730916,0.2573945134060033,0.21589921517124888,0.5119158175672488,0.3496901940810472,0.019187547174321362,0.7762647653588096,49.777,0.013669999999999849,0.0,0.05129999999999768,0.0,11.586300000000001,95.77190973250416,0.08285322868355334,0.3555997778259697,0.20436700207796032,1.0,1.0,5.6,11.399999999999999,11.399999999999999,-128.0,1370.37,-7.799999999999997,0.0,189.569,23.46485,23.401916666666665,242.703,287.338,23.2068,1062.0149999999999,1103.8181818181818,12.48695,12.38508181818182,-125.1,-128.0,23.2335,0.4374815733270172,0.8624348388061817,0.22373523464119036,0.5812238702449914,0.9808124528256786,0.6778448774626908,0.048695378319669524,0.6503098059189528,0.3496901940810472,0.8796804333055268,0.12031956669447319,0.7426054865939967,0.6900337262458862,0.9911129029549468,0.003545806961324712,0.01604491897000473,0.5524448216996061,7.0075,70.99487500000001,22.8975,22.8975,11.3112,60.4058,29.5385,-125.80000000000001,0.837534848061193,0.8749631466540344,0.007091613922649424,11.3112,301.92499999999995,0.0,22.8975,71.5408,7.0075,60.4058,189.015,64.57,29.378612232333083,-78.69541513684072,60.839892396617024,63.733244201216124,46.66285633226475,39.44207929900834,60.73719650016187,572.6115324751402,1.943368431516289,28.205970765734154,0.4880841824327512,0.003545806961324712,0.7841007848287511,0.8796804333055268,0.9808124528256786,0.6503098059189528,0.7426054865939967,0.22373523464119036,0.4374815733270172,0.6778448774626908,0.4373002124232368,0.470850000302525,0.541726968547206,0.6075245232910617,1.1777293069659467,0.3350879191176726,0.6979036137873272,0.6778933092754522,0.399025408168652,0.02207586739498712
1492218600,1.0,62.7518,29.2473,673.375,71.0447,29.265227045789338,61.88029405225841,1.80067,0.41370549511057364,2.91333,2.9033300000000004,0.0,-0.26310000000000144,0.0,-0.10470000000000113,0.0,1.4256000000000029,0.0,2.1327,0.0,-0.13089999999999868,0.0,96.18000000000006,0.0,-0.3088000000000015,0.5958299999999994,0.0,0.0,29.4387,-0.19140000000000157,0.0,39.2547,71.126,0.06923774470646504,0.3241651840440454,0.06112230007382957,0.09837145203632813,0.6757993376362971,0.43444407077004765,0.020230063740009907,0.8916259859332276,49.6723,-0.13332999999999995,0.0,-0.49609999999999843,0.0,11.408399999999999,94.13785454923602,0.05620024384052777,0.3119548986606934,0.3555997778259697,1.0,1.0,6.2,12.2,12.2,-117.8,1466.55,10.200000000000003,0.0,189.015,23.3339,23.203149999999997,242.703,355.1678333333333,22.8975,1062.0149999999999,1128.4836363636364,12.2031,12.158790909090909,-121.2,-117.8,22.897666666666666,0.10961162306261178,0.8624348388061817,0.10837401406677237,0.5812238702449914,0.9797699362599901,0.6758348159559546,0.048695378319669524,0.5655559292299523,0.3496901940810472,0.930762255293535,0.12031956669447319,0.9388776999261704,0.2573945134060033,0.21589921517124888,0.006520333274918534,0.014986537474475713,0.5524448216996061,7.60333,71.0004111111111,22.5887,22.5887,11.1803,61.3262,29.4387,-122.93333333333331,0.837534848061193,0.21922324612522356,0.013040666549837068,11.1803,124.97400000000005,0.0,22.5887,71.0447,7.60333,61.3262,189.327,66.7027,29.265227045789338,-80.1548619578785,61.88029405225841,65.24556474517073,46.64511059249227,39.49997318104081,61.48828006373735,715.3073577301585,1.9917234953698646,28.06062101745637,0.32420066236370293,0.006520333274918534,0.9016285479636719,0.930762255293535,0.9797699362599901,0.5655559292299523,0.9388776999261704,0.10837401406677237,0.10961162306261178,0.6758348159559546,0.4539500758261782,0.3185191177750017,0.8036496948081807,1.256873820112584,0.7141055395352836,0.46457291259002365,0.3506474010842102,0.7314034655573021,0.42727124758332,0.5306159916855167
1492219200,1.0,63.74,28.9703,643.337,70.5515,29.063480897646933,62.70471946606618,1.71433,0.41370549511057364,5.35933,2.4459999999999997,0.0,-0.1319999999999979,0.0,-0.2798000000000016,0.0,0.9881999999999991,0.0,1.2816000000000116,0.0,-0.14760000000000062,0.0,-22.839999999999918,0.0,-0.2508999999999979,-0.007159999999999833,0.0,0.0,29.2473,-0.27699999999999747,0.0,39.1227,71.126,0.05187700839408804,0.3443928311425991,0.020542489871247405,0.049157043775514664,0.8107477275582405,0.4935934290670865,0.022313717742555417,0.9706237094329767,49.3925,-0.08634000000000008,0.0,-0.49320000000000164,0.0,11.305100000000001,90.33425377804782,0.05340046365471021,0.3172480863152088,0.3119548986606934,1.0,1.0,4.4,9.100000000000001,9.100000000000001,-115.3,1443.71,2.5,0.0,189.327,23.05215,23.01466666666667,397.4385,422.56899999999996,22.5887,1066.83,1163.9245454545453,11.968399999999999,11.913218181818182,-119.2,-115.3,22.608000000000004,0.07730221396129176,0.8624348388061817,0.029376290567023337,0.5812238702449914,0.9776862822574446,0.6556071688574009,0.048695378319669524,0.5064065709329135,0.3496901940810472,0.948122991605912,0.12031956669447319,0.9794575101287526,0.2573945134060033,0.21589921517124888,0.006306320211425911,0.014986537474475713,0.6588137530822569,7.59617,71.06226666666666,22.3378,22.3378,11.0327,62.7518,29.2473,-120.28333333333332,0.837534848061193,0.15460442792258353,0.012612640422851823,11.0327,-30.03800000000001,0.0,22.3378,70.5515,7.59617,62.7518,189.007,67.9843,29.063480897646933,-73.92423691781926,62.70471946606618,66.4885347089072,46.67138526704921,39.686311822873805,61.94444467491472,712.1739241691037,1.9605554100376588,27.913860258836593,0.1892522724417595,0.006306320211425911,0.9508429562244853,0.948122991605912,0.9776862822574446,0.5064065709329135,0.9794575101287526,0.029376290567023337,0.07730221396129176,0.6556071688574009,0.540434593312157,0.9785094449077064,1.1261058803608142,1.16662225871284,0.7207384764478418,1.0690769113319842,0.550710300431705,0.7451215805657356,0.8968717541199052,0.3377304296306112
1492219800,1.0,61.9092,28.6063,464.266,70.0608,28.799172618882253,62.973593586362895,1.99283,0.39548380767922175,4.36317,-0.9961599999999997,0.0,-0.14150000000000063,0.0,-0.24049999999999727,0.0,-1.8308000000000035,0.0,-0.9613000000000085,0.0,0.07179999999999964,0.0,-141.05999999999995,0.0,-0.1130000000000031,-1.04584,0.0,0.0,28.9703,-0.36400000000000077,0.0,38.9812,71.126,0.020134678902760994,0.39548380767922175,0.5360421642273172,0.9411845069619907,0.9021616946783516,0.569145166417949,0.022549463666798664,0.3447847094100812,49.152,0.2785000000000002,0.0,-0.4907000000000039,0.0,11.120299999999999,101.20688445889817,0.04250778205067532,0.31448491043093096,0.3172480863152088,1.0,1.0,6.8,13.1,13.1,-136.4,1302.65,-21.10000000000001,0.0,189.007,22.7431,22.808633333333333,506.33349999999996,462.84833333333336,22.3378,1076.3200000000002,1186.8863636363633,11.7804,11.76669090909091,-119.2,-136.4,22.383766666666666,0.42918047397236153,0.8624348388061817,0.6552152905899188,0.5812238702449914,0.9774505363332013,0.6045161923207782,0.048695378319669524,0.43085483358205096,0.43444407077004765,0.979865321097239,0.10754911119747115,0.4639578357726828,0.4663802515219887,0.7598631840143053,0.0025208234962063353,0.013040666549837068,0.709536435116783,6.55033,71.02422222222222,22.2248,22.2248,11.1045,63.74,28.9703,-122.64999999999998,0.837534848061193,0.8583609479447231,0.005041646992412671,11.1045,-179.07099999999997,0.0,22.2248,70.0608,6.55033,63.74,189.332,67.023,28.799172618882253,-81.88288636284796,62.973593586362895,64.72096473780856,46.60689541951105,39.80311807348966,62.0232728969667,458.7296629890294,2.0084856530363173,27.886479100569776,0.09783830532164839,0.0025208234962063353,0.058815493038009245,0.979865321097239,0.9774505363332013,0.43085483358205096,0.4639578357726828,0.6552152905899188,0.42918047397236153,0.6045161923207782,0.07417275912156802,0.2468702757285258,1.215175674725218,1.083762817034716,0.6031589625493777,0.745588717193444,0.7377434912121542,0.5972389285073996,0.42182323352191675,0.13579602661909382
