DATETIME,IND1,IND10,IND12,IND13,IND17206,IND2,IND2006,IND228,IND3,IND323,IND36351,IND36356,IND36361,IND36372,IND36377,IND36380,IND4,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5217,IND5218,IND5261,IND5265,IND5271,IND5275,IND5278,IND5315,IND5528,IND5532,IND5535,IND6,IND7,IND700,IND8,IND89,IND9,MOD100039,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100039,RES3,RES4,RES5,RES55,RES6,RES7,RES8,UNC100039,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1492560000,,,,,,,,,,94.4083,,,,,,,,,,,0.04989515295887404,0.10972500879461013,1.0,1.0,37.8,,76.9,,,190.168,21.384500000000003,,1658.875,,21.0083,1681.26,,10.40225,,-232.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492560600,,,,,,,,,,93.4248,,,,,,,,,,,0.062248335499687155,0.04989515295887404,1.0,1.0,19.6,,39.3,,,190.569,21.21525,,1600.99,,21.0083,1681.26,,10.2813,,-212.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492561200,,,,,,,,,,91.9392,,,,,,,,,,,0.0506332384668057,0.062248335499687155,1.0,1.0,14.8,,29.5,,,190.993,21.21525,,1561.225,,21.2513,1680.5549999999998,,10.1594,,-208.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492561800,,,,,,,,,,91.3757,,,,,,,,,,,0.05394331772073874,0.0506332384668057,1.0,1.0,31.0,,60.8,,,189.974,21.21525,,1507.045,,21.331,1679.185,,10.054400000000001,,-198.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492562400,,,,,,,,,,90.9453,,,,,,,,,,,0.07658682932404103,0.05394331772073874,1.0,1.0,35.8,,73.8,,,188.946,21.1298,,1507.045,,21.331,1679.185,,9.9829,,-198.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492563000,,,,,,,,,,89.2918,,,,,,,,,,,0.044816159138648545,0.07658682932404103,1.0,1.0,35.2,,70.2,,,189.824,21.1298,,1507.045,,20.6158,1679.185,,9.907084999999999,,-190.35000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492563600,,,,,,,,,,87.268,,,,,,,,,,,0.07214187489404068,0.044816159138648545,1.0,1.0,27.3,,56.5,,,190.393,20.93355,,1563.915,,20.4863,1680.0749999999998,,9.820335,,-190.35000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492564200,,,,,,,,,,87.268,,,,,,,,,,,0.08640515808222289,0.07214187489404068,1.0,1.0,49.7,,98.9,,,190.116,20.55105,,1710.625,,20.3512,1679.835,,9.727915,,-201.35000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492564800,,,,,,,,,,87.268,,,,,,,,,,,0.08096305272242077,0.08640515808222289,1.0,1.0,52.4,,104.8,,,190.054,20.41875,,1746.245,,20.3163,1679.835,,9.645330000000001,,-203.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492565400,,,,,,,,,,87.268,,,,,,,,,,,0.09116841278512883,0.08096305272242077,1.0,1.0,41.6,,85.4,,,190.409,20.33375,,1800.7150000000001,,20.07,1680.57,,9.5935,,-206.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
