DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5309,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM112,SYM1994,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1495468800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.127,63.127,62.789,62.789,0.33800000000000097,,,74.4,74.4,68.6,68.6,5.800000000000011,5.800000000000011,5.800000000000011,6.611299999999996,6.611299999999996,6.611299999999996,,,63.127,63.127,62.789,62.789,63.1235,63.1235,0.0,0.0,0.0,,,,,,,,,,,,-0.09806987448969713,,,,1.6,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495469400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5495,,61.33,,0.3442000000000007,,0.3442000000000007,74.1658,,68.6087,,5.623000000000005,,,6.380300000000002,,6.495799999999999,,,61.5495,63.127,61.33,62.789,61.6742,63.1235,,,,,,,,,,,,,,,0.032756642294008556,,1.0,1.0,9.7,,,,,,,194.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8238,61.8638,61.5992,61.5992,0.2645999999999944,0.2645999999999944,0.30439999999999756,74.0642,74.0642,68.4122,68.4093,5.654899999999998,5.654899999999998,5.692633333333338,6.046199999999999,6.046199999999999,6.345933333333332,,,61.5495,63.127,61.33,62.789,61.6742,63.1235,1.5775000000000006,1.4590000000000032,1.449300000000001,,,,,,,,,,,,-0.11892924057688643,0.032756642294008556,1.0,1.0,3.8,,7.8999999999999995,,,,,188.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495470600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1535,59.1535,59.0872,59.0872,0.06629999999999825,0.06629999999999825,0.22503333333333111,74.1742,74.1742,68.3198,68.3198,5.854399999999998,5.854399999999998,5.733075000000003,6.9391,6.9391,6.494224999999999,,,59.1535,63.127,59.0872,62.789,59.1398,63.1235,3.9735000000000014,3.7017999999999986,3.983699999999999,,,,,,,,,,,,-0.010777419311790994,-0.11892924057688643,1.0,1.0,12.4,,22.6,,,,,189.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495471200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6752,61.7157,61.221,61.221,0.4947000000000017,0.4947000000000017,0.29244999999999877,74.3503,74.3503,68.481,68.481,5.86930000000001,5.86930000000001,5.7603200000000045,8.6598,8.6598,6.92734,,,59.1535,63.127,59.0872,62.789,59.1398,63.1235,3.9735000000000014,3.7017999999999986,3.983699999999999,,,,,,,,,,,,0.03847836645698121,-0.010777419311790994,1.0,1.0,9.5,,19.2,,,,,188.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495471800,1.0,60.0257,39.9033,144.37,,,,2.82467,0.5099318658095287,4.188,,,,,,,,,,,,,,,,,,,,,,43.7312,,0.5099318658095287,,,,0.9778304409996347,0.9630176402275652,,48.9397,,,64.2322,64.3128,63.7468,63.7468,0.5659999999999954,,0.34715999999999814,74.476,74.476,68.5972,68.5972,5.878799999999998,,,9.2868,9.2868,7.3205833333333326,,,59.1535,64.2322,59.0872,63.7468,59.1398,64.3128,5.078700000000005,4.6595999999999975,5.172999999999995,63.7468,64.3128,,,,,,,,116.84072737425792,0.18626946955669318,0.03217656577757626,0.03847836645698121,1.0,1.0,10.1,20.6,20.6,-137.9,1058.75,,,188.936,,,,,,,0.7843272522784831,0.4313454954430338,0.8541642290913429,,,,0.9630176402275652,,0.9778304409996347,,,,,,0.06230627144037058,0.12461254288074115,,,64.2322,,,,,,,-137.9,0.14583577090865707,,,27.7727,,,37.0595,64.2322,4.5905,,189.18,64.189,,-127.23222869901213,,,50.598091735403386,50.32315308951033,,123.56136703733605,2.7277470102613863,39.96831653792769,,0.06230627144037058,,,0.03698235977243481,0.022169559000365352,,0.8541642290913429,0.7843272522784831,0.4900681341904713,,,,,0.835053932175429,,,0.9006434654628263,0.9418349740018678,,0.6586237045744794,0.7698036559012955,0.44460841866327167
1495472400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6209999999999951,0.6209999999999951,0.3927999999999976,,,,,5.8770000000000095,5.8770000000000095,5.792900000000003,,,7.434983333333332,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495473000,1.0,62.1452,39.8863,423.554,67.9652,,,1.80917,0.5099318658095287,0.563167,,,,,,,,,,,,,,,,,,,,,,44.3263,0.04254307344047259,0.47212819279645035,0.2156771732804016,,,0.9513754380998363,0.9258827802844674,0.7605284255710133,49.98,,,67.9652,68.0352,67.5885,67.5885,0.446700000000007,0.446700000000007,0.40988333333333193,74.3627,74.3627,68.4,68.4,5.962699999999998,5.962699999999998,5.849516666666668,7.530299999999997,7.530299999999997,7.626649999999999,,,59.1535,67.9652,59.0872,67.5885,59.1398,68.0352,8.811699999999995,8.501299999999993,8.895400000000002,67.5885,68.0352,,,,,,,7.530299999999997,95.50428908422985,0.09775710921635401,0.31243983178976326,0.10029632527246335,1.0,1.0,6.9,13.600000000000001,13.600000000000001,-153.7,1279.95,,,189.576,36.03615,283.962,1169.35,27.6276,-153.7,36.03615,0.2033406897664269,0.4313454954430338,0.23947157442898673,0.8541642290913429,0.07411721971553263,0.5278718072035496,0.9630176402275652,0.04862456190016368,0.9778304409996347,0.9574569265595274,0.04254307344047259,0.7843228267195984,0.2156771732804016,,0.004105981464990514,0.12461254288074115,,6.66283,66.09870000000001,35.0128,,27.4825,,,,-145.8,0.7605284255710133,0.4066813795328538,0.008211962929981028,27.4825,,,35.0128,67.9652,6.66283,,190.015,67.1598,,-112.32621733954977,,65.36264460118629,51.255151480745766,49.21891834224935,61.462777750761056,443.492123821211,1.9126454256600034,39.86161910543167,,0.004105981464990514,,0.9574569265595274,0.07411721971553263,0.04862456190016368,0.7843228267195984,0.23947157442898673,0.2033406897664269,0.5278718072035496,,,,,0.29432718338472597,,0.5081454046284509,0.5928758887542123,0.6009412024317545,0.5508535648021962,0.9390988974860791,0.7679968216737572,0.6653951508301242
1495473600,1.0,62.1588,39.9177,211.313,69.5313,40.08528353797796,,2.05783,0.5099318658095287,3.50033,2.937163,0.0,0.3609999999999971,0.0,0.46570000000000533,0.0,0.013599999999996726,0.0,-0.4420000000000073,0.0,-0.045700000000000074,0.0,-201.4000000000001,0.0,-0.2394999999999996,-1.2684999999999995,0.0,0.0,39.8863,0.03140000000000498,0.0,44.6873,,0.46172711409445133,,,0.5812219733894932,0.8887517072812646,0.8841679261005443,0.6941170728532329,50.4457,0.2486600000000001,0.0,69.5313,69.5675,69.1127,69.1127,0.45479999999999166,0.45479999999999166,0.4415833333333315,74.1672,74.1672,68.3177,68.3177,5.849499999999992,5.849499999999992,5.881950000000001,7.336499999999997,7.336499999999997,7.841699999999998,-1.1099999999999852,0.0,59.1535,69.5313,59.0872,69.1127,59.1398,69.5675,10.3778,10.025500000000001,10.427699999999994,69.1127,69.5675,1.5242000000000075,1.5322999999999922,0.0,0.0,1.5661000000000058,0.0,7.336499999999997,94.59025515348215,0.09203478467205381,0.13970635480267438,0.31243983178976326,1.0,1.0,8.6,18.4,18.4,-150.2,1078.55,3.5,0.0,190.015,35.6152,259.74566666666664,1139.0833333333333,27.564,-150.2,34.89305,0.1525540194233402,0.4313454954430338,0.3058829271467671,0.8541642290913429,0.11583207389945568,0.5382728859055487,0.9630176402275652,0.11124829271873533,0.9778304409996347,,,,,,0.0070809960790140375,0.12461254288074115,0.5812219733894932,5.39433,67.24289999999999,,,27.4368,,,39.8863,-147.26666666666665,0.7605284255710133,0.3051080388466804,0.014161992158028075,27.4368,-212.24099999999999,0.0,34.7733,69.5313,5.39433,62.1452,188.905,66.7178,40.08528353797796,-122.15820342881875,,,51.44966885417237,47.64531410177766,,223.3982767644759,2.2015683671398123,39.81426782980596,0.4187780266105068,0.0070809960790140375,,,0.11583207389945568,0.11124829271873533,,0.3058829271467671,0.1525540194233402,0.5382728859055487,,,,0.48646088688058076,0.29873693586065997,,,1.0432134079818505,1.0474161664870785,,0.5561027107095896,0.2943303386150096,0.8618737858497383
1495474200,1.0,62.1197,40.0,199.226,70.5915,40.16689239646675,,2.2465,0.500480947556259,-3.19983,-6.70016,0.0,0.11269999999999669,0.0,0.2740999999999971,0.0,-0.03909999999999769,0.0,-0.5542999999999978,0.0,0.11169999999999902,0.0,14.620000000000118,0.0,-0.5970999999999975,-0.08415999999999979,0.0,0.0,39.9177,0.08229999999999649,0.0,44.8,,0.44687819214903657,,,0.5848266693871165,0.7839210010398093,0.850729792999901,0.7522772724432484,50.7198,0.18867000000000012,0.0,70.5915,70.6817,70.2063,70.2063,0.4754000000000076,0.4754000000000076,0.5097666666666664,73.938,73.938,68.1762,68.1762,5.761800000000008,5.761800000000008,5.866516666666669,6.627700000000001,6.627700000000001,7.7898,0.813999999999993,0.0,61.6752,70.5915,61.221,70.2063,61.7157,70.6817,8.9163,8.985300000000002,8.966000000000008,70.2063,70.6817,1.093599999999995,1.114200000000011,0.0,0.0,1.0601999999999947,0.0,6.627700000000001,92.94738739130457,0.17187566499754242,0.11267401198768819,0.13970635480267438,1.0,1.0,11.5,22.2,22.2,-161.9,1093.17,-11.700000000000017,0.0,188.905,35.255449999999996,244.61575,1127.605,27.560125000000003,-161.9,34.6541,0.3371444053922005,0.6135529819490592,0.24772272755675165,0.717093903605199,0.14927020700009896,0.5531218078509634,0.9537339252417907,0.2160789989601907,0.971216690274685,,,,,,0.005959353665928796,0.09699990520006288,0.5848266693871165,5.31017,68.08005,,,27.5485,,,39.9177,-150.925,0.7584656372890721,0.674288810784401,0.011918707331857592,27.5485,-12.086999999999989,0.0,34.1762,70.5915,5.31017,62.1588,189.719,66.1635,40.16689239646675,-129.8826095861645,,,51.58396838695647,46.69509455410033,,214.34276486036873,2.290671788906866,39.79912408712589,0.41517333061288353,0.005959353665928796,,,0.14927020700009896,0.2160789989601907,,0.24772272755675165,0.3371444053922005,0.5531218078509634,,,,0.4108894169895388,0.562906740164854,,,1.1662199304762626,0.9838173984053006,,0.7290881809964277,0.6137009373993199,0.8550784352322421
