DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5309,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND63786,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM157,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1495756800,1.0,61.8137,37.5238,322.911,76.1575,38.01603337887737,61.98499934578056,1.94167,0.21683617565467805,5.85983,6.267663,0.0,0.13980000000000103,0.0,0.08800000000000097,0.0,0.1886999999999972,0.0,-1.0252999999999872,0.0,0.0010000000000012221,0.0,-189.5,0.0,-0.06299999999999883,-1.2236599999999997,0.0,0.0,37.7177,-0.1938999999999993,0.0,46.2778,0.008098037756386622,0.27119009407828554,0.5493421269711386,0.5706532004232814,0.9430029502132095,0.21901398659844917,0.02343203045880793,0.5987502480866611,55.4,0.2390000000000001,0.0,76.1575,76.169,75.9475,75.9475,0.22149999999999181,0.22149999999999181,0.24775000000000108,77.4572,77.4572,71.9923,71.9923,5.4649,5.4649,5.414016666666663,9.0628,9.0628,8.991216666666666,0.4579999999999984,0.0,76.0048,76.2485,75.8823,76.0065,76.037,76.293,0.24370000000000402,0.12420000000000186,0.2560000000000002,75.9475,76.169,0.06520000000000437,0.1319999999999908,0.0,0.0,0.15269999999999584,0.0,9.0628,97.65221312238874,0.08638721966370534,0.30946114043020784,0.3196952582206335,1.0,1.0,11.0,22.8,22.8,-154.6,1172.75,-32.5,0.0,188.936,31.428466666666665,384.1743333333334,1303.4416666666666,22.68658333333333,-154.6,31.709166666666665,0.2663332301562179,0.46381029944551905,0.40124975191333895,0.39135875162250305,0.9765679695411921,0.7288099059217145,0.07788973926554218,0.7809860134015508,0.731555339402832,0.9919019622436134,0.028632763204540113,0.4506578730288614,0.7526773530492428,0.8519110764528213,0.005762634557274542,0.016293759063082603,0.9453594016465675,5.96917,76.31041111111111,31.739,,22.6762,,61.625,37.7177,-132.93333333333334,0.9275946758518915,0.5326664603124358,0.011525269114549083,22.6762,0.08638721966370534,-193.80300000000005,0.0,31.739,76.1575,5.96917,61.625,189.394,67.3872,38.01603337887737,-121.20517602957972,61.98499934578056,64.6259355202134,53.37940243570627,45.422805229613786,61.961055202525635,330.67453330042974,2.0168779262634953,36.38340045821622,0.05699704978679052,0.005762634557274542,0.4293467995767186,0.9919019622436134,0.9765679695411921,0.7809860134015508,0.4506578730288614,0.40124975191333895,0.2663332301562179,0.7288099059217145,,,0.35755071067400696,0.1892284711167009,0.6600282967706104,0.6627220201059222,0.5068210109819958,0.8045542314621158,0.5891107217696365,0.702423388627389,0.6486760956621723,0.5380660840322592
1495757400,1.0,63.0117,37.3502,394.499,76.241,37.84105637501807,62.10802687027818,2.016,0.23786405787633588,3.145,-2.7148299999999996,0.0,-0.14059999999999917,0.0,-0.015999999999998238,0.0,1.1980000000000004,0.0,-0.004400000000003956,0.0,-0.3605000000000018,0.0,69.6400000000001,0.0,-0.570800000000002,0.31899999999999995,0.0,0.0,37.5238,-0.17360000000000042,0.0,46.1372,0.06002956985651198,0.2899223243541187,0.09824257179445839,0.09237387466592484,0.9352605619370526,0.23577948263294723,0.023440931128641762,0.4338055270738589,55.384,0.07433000000000001,0.0,76.241,76.241,76.0207,76.0207,0.2202999999999946,0.2202999999999946,0.23348333333333215,77.5438,77.5438,72.0443,72.0443,5.499499999999998,5.499499999999998,5.4482666666666635,8.8525,8.8525,8.98885,-0.3120000000000118,0.0,76.0048,76.2485,75.8823,76.0207,76.037,76.293,0.24370000000000402,0.1384000000000043,0.2560000000000002,76.0207,76.2072,0.07319999999999993,0.03820000000000334,0.0,0.0,0.0835000000000008,0.0,8.8525,100.17607973297663,0.13102667389717518,0.3271371614867481,0.30946114043020784,1.0,1.0,13.0,25.7,25.7,-155.5,1242.39,-0.9000000000000057,0.0,189.394,31.446166666666663,388.16533333333336,1294.8475,22.588099999999997,-155.5,31.569733333333335,0.506833883471129,0.46381029944551905,0.5661944729261411,0.4208812132600513,0.9765590688713582,0.7100776756458813,0.07332095022966151,0.7642205173670528,0.6959493969386521,0.939970430143488,0.05220740790372849,0.9017574282055416,0.7233950884355405,0.7307200388606682,0.006899243794233117,0.016591537842529383,0.9453594016465675,6.28817,76.24637777777777,31.1682,,22.3157,,61.8137,37.5238,-136.0,0.9275946758518915,0.986332233057742,0.013798487588466234,22.3157,0.13102667389717518,71.58800000000002,0.0,31.1682,76.241,6.28817,61.8137,189.082,67.3828,37.84105637501807,-126.06414244579906,62.10802687027818,65.8658519105836,53.370620842334546,45.45074059638927,61.98382790969032,393.8055881718999,2.003630783348375,36.340387939217806,0.06473943806294741,0.006899243794233117,0.9076261253340752,0.939970430143488,0.9765590688713582,0.7642205173670528,0.9017574282055416,0.5661944729261411,0.506833883471129,0.7100776756458813,,,0.794171133524853,0.5946773385615418,0.6194167154556188,1.3519368694693343,0.5334854760377321,0.8447086496453775,0.6445574022050377,0.7255243883080255,0.4918897776467942,0.14988621763895074
1495758000,1.0,63.1733,37.255,266.345,76.3492,37.690592562847385,62.71485551391737,2.36433,0.26443229352136965,-0.616833,-3.761833,0.0,-0.16340000000000288,0.0,-0.08220000000000027,0.0,0.16159999999999997,0.0,-0.4005999999999972,0.0,-0.5212000000000003,0.0,-131.2800000000002,0.0,0.16660000000000252,-0.8573399999999998,0.0,0.0,37.3502,-0.0951999999999984,0.0,45.9738,0.13865853894279756,0.3038946059115084,0.046205419053199526,0.2702149345485778,0.9015214483983978,0.24768424913939924,0.02540882997495708,0.1727603406986702,55.3018,0.3483299999999998,0.0,76.3492,76.4008,76.1343,76.1343,0.26650000000000773,0.26650000000000773,0.23951666666666682,77.5368,77.5368,72.0227,72.0227,5.514099999999999,5.514099999999999,5.473899999999998,9.540300000000002,9.540300000000002,9.067866666666667,0.492999999999995,0.0,76.0048,76.3492,75.8823,76.1343,76.037,76.4008,0.34439999999999316,0.25199999999999534,0.3637999999999977,76.1343,76.4008,0.11359999999999104,0.19360000000000355,0.0,0.0,0.10819999999999652,0.0,9.540300000000002,107.76858525413287,0.11087918421309449,0.2203430077764518,0.3271371614867481,1.0,1.0,21.8,43.7,43.7,-194.9,1111.11,-39.400000000000006,0.0,189.082,31.45738333333333,387.8183333333334,1276.3966666666668,22.450949999999995,-194.9,31.414,0.8730903573988847,0.46381029944551905,0.8272396593013298,0.45989620031498485,0.9745911700250429,0.6961053940884916,0.058966005228001606,0.7523157508606008,0.6572640007505423,0.8613414610572024,0.10021995459315011,0.9537945809468005,0.7233950884355405,0.7307200388606682,0.004404292851951656,0.016591537842529383,0.9453594016465675,5.43083,76.20558888888888,31.3348,,21.7945,,63.0117,37.3502,-145.53333333333333,0.9275946758518915,0.2538192852022305,0.008808585703903311,21.7945,0.11087918421309449,-128.154,0.0,31.3348,76.3492,5.43083,63.0117,189.575,66.9822,37.690592562847385,-156.14435606441208,62.71485551391737,66.07373414602434,53.35925291351176,45.444387369502806,61.88149609547092,247.14530618725536,2.2199930940600625,36.3146162091839,0.09847855160160218,0.004404292851951656,0.7297850654514222,0.8613414610572024,0.9745911700250429,0.7523157508606008,0.9537945809468005,0.8272396593013298,0.8730903573988847,0.6961053940884916,,,0.7319082828287304,0.5342505397200413,0.6818489714571419,1.2283301708295586,0.5358598897277681,0.8547548869339541,0.5869045954087377,0.7175638677458548,0.40510287362846337,0.665507074203587
1495758600,1.0,63.5588,37.2432,427.112,76.4673,37.551122233605284,62.77429510268851,1.84367,0.2850580090819347,-4.45117,-3.8343370000000006,0.0,-0.20929999999999893,0.0,-0.06810000000000116,0.0,0.3855000000000004,0.0,0.5379999999999967,0.0,-0.33200000000000074,0.0,163.4000000000001,0.0,-0.513300000000001,1.1694999999999993,0.0,0.0,37.255,-0.01180000000000092,0.0,45.7645,0.11212273846208554,0.28968064741648436,0.028690085437143686,0.1278673497680074,0.7616567479914358,0.2910685979761406,0.02716363343627959,0.83750301884418,55.2337,-0.5206599999999999,0.0,76.4673,76.5132,76.2997,76.2997,0.21349999999999625,0.21349999999999625,0.2273499999999989,77.5518,77.5518,72.029,72.029,5.522800000000004,5.522800000000004,5.49165,9.359000000000002,9.359000000000002,9.178033333333332,-0.42499999999998295,0.0,76.0048,76.4673,75.8823,76.2997,76.037,76.5132,0.4624999999999915,0.41740000000000066,0.4761999999999915,76.2997,76.5132,0.16540000000000532,0.11239999999999384,0.0,0.0,0.11809999999999832,0.0,9.359000000000002,93.7654977717525,0.11202803496188829,0.34256819858243676,0.2203430077764518,1.0,1.0,10.6,20.2,20.2,-143.2,1274.51,51.70000000000002,0.0,189.575,31.408666666666665,397.23916666666673,1265.035,22.311074999999995,-143.2,31.108166666666666,0.29890678776891116,0.5176471201733351,0.16249698115581998,0.45335237986608073,0.9728363665637204,0.7103193525835156,0.04112871706714627,0.7089314020238594,0.5596988407167321,0.8878772615379145,0.1132432467445435,0.9713099145628563,0.7233950884355405,0.7307200388606682,0.007151688006031339,0.016717759948428494,0.9433643888505264,6.60033,76.21758888888888,30.8215,,21.4625,,63.1733,37.255,-148.75,0.9275946758518915,0.5978135755378223,0.014303376012062679,21.4625,0.11202803496188829,160.767,0.0,30.8215,76.4673,6.60033,63.1733,189.15,67.5202,37.551122233605284,-113.65907702676833,62.77429510268851,66.5191149673743,53.35807114644643,45.493665360576756,61.9626175490928,455.5108330355075,1.9044860374431198,36.23169105682716,0.23834325200856415,0.007151688006031339,0.8721326502319926,0.8878772615379145,0.9728363665637204,0.7089314020238594,0.9713099145628563,0.16249698115581998,0.29890678776891116,0.7103193525835156,,,0.8412971039040923,0.23263182367325172,0.7139140560592192,1.2234721153110157,0.6104125171266985,0.8830074843840415,0.8306836562992412,0.7810917606170112,1.2061179243478162,0.22350742753088498
1495759200,1.0,62.7542,37.208,647.656,76.2043,37.52021662647994,62.93491269705617,1.6865,0.2869736549183129,-3.04367,1.4075000000000002,0.0,-0.016999999999995907,0.0,-0.033699999999996066,0.0,-0.8046000000000006,0.0,1.6011000000000024,0.0,0.17130000000000223,0.0,187.73000000000002,0.0,0.031800000000000495,1.1043400000000005,0.0,0.0,37.2432,-0.03520000000000323,0.0,45.7475,0.0,0.2788526774237985,0.28766632297258055,0.5891409492033938,0.7636869647563767,0.3377692423970893,0.02742626708012652,0.9372642619417013,55.2,-0.1571699999999998,0.0,76.2043,76.2043,76.1037,76.1037,0.10060000000000002,0.10060000000000002,0.19618333333333263,77.7693,77.7693,72.2335,72.2335,5.535799999999995,5.535799999999995,5.502316666666665,9.2195,9.2195,9.193483333333333,-0.03499999999999659,0.0,76.0048,76.4673,75.8823,76.2997,76.037,76.5132,0.4624999999999915,0.41740000000000066,0.4761999999999915,76.1037,76.2003,-0.19599999999999795,-0.31289999999999907,0.0,0.0,-0.262999999999991,0.0,9.2195,92.39560506795955,0.04167835870971762,0.3221692900652256,0.34256819858243676,1.0,1.0,4.8,9.899999999999999,9.899999999999999,-126.7,1462.24,16.499999999999986,0.0,189.15,31.286466666666662,429.20616666666666,1278.3175,22.21635,-126.7,31.0032,0.06506638842680584,0.5088683198628211,0.06273573805829874,0.45335237986608073,0.9725737329198735,0.7211473225762015,0.03441420584038252,0.6622307576029107,0.4884594705222977,1.0,0.1132432467445435,0.7123336770274195,0.6848056164851498,0.6380661681018187,0.0068740951093864,0.016717759948428494,0.9410673531441702,7.70467,76.22123333333333,30.8533,30.8533,21.6338,63.5588,63.5588,37.2432,-149.5,0.9385152613448544,0.1301327768536117,0.0137481902187728,21.6338,0.04167835870971762,220.54399999999993,0.0,30.8533,76.2043,7.70467,63.5588,189.115,69.1213,37.52021662647994,-92.63723779061667,62.93491269705617,65.55902010886042,53.363871880144075,45.699740097156614,62.2489276194888,700.9597475157295,1.9597856971543735,36.16620529401635,0.23631303524362332,0.0068740951093864,0.41085905079660623,1.0,0.9725737329198735,0.6622307576029107,0.7123336770274195,0.06273573805829874,0.06506638842680584,0.7211473225762015,,,0.8228317975794815,0.5281206742113009,0.7704521355581528,0.8732192621275379,0.31840200080780656,0.8650601202718536,0.705438663753158,0.4228216357713271,0.9874748436614802,0.2266178681519515
1495759800,1.0,62.458,37.1278,740.099,76.0467,37.475344817884405,62.581524552928705,1.70817,0.2898619051197101,-3.84417,-0.8005,0.0,0.2219999999999942,0.0,0.11399999999999721,0.0,-0.2961999999999989,0.0,0.7334999999999923,0.0,0.0835000000000008,0.0,65.69000000000005,0.0,0.3056999999999981,0.32715999999999923,0.0,0.0,37.208,-0.08019999999999783,0.0,45.9695,0.0,0.29019863457007344,0.4834899582248793,0.5558913424519887,0.8099395007678121,0.3439964058005568,0.025982586563556564,0.9432884083825971,55.314,0.021669999999999856,0.0,76.0467,76.1412,75.9433,75.9433,0.19790000000000418,0.19790000000000418,0.20338333333333242,78.074,78.074,72.5517,72.5517,5.522300000000001,5.522300000000001,5.509899999999999,9.441699999999997,9.441699999999997,9.245966666666666,0.8849999999999909,0.0,76.0467,76.4673,75.9433,76.2997,76.1412,76.5132,0.4205999999999932,0.3564000000000078,0.3719999999999999,75.9433,76.1412,-0.16040000000000987,-0.05910000000000082,0.0,0.0,-0.15760000000000218,0.0,9.441699999999997,92.89557475774076,0.04945821811467623,0.31594660513591805,0.3221692900652256,1.0,1.0,5.4,10.8,10.8,-122.5,1527.93,4.200000000000003,0.0,189.115,31.179299999999998,466.437,1280.5791666666667,22.154691666666665,-122.5,30.944599999999998,0.04353153484733537,0.5088683198628211,0.05671159161740293,0.45335237986608073,0.9740174134364434,0.7098013654299266,0.03374482369559381,0.6560035941994432,0.42742868740698026,1.0,0.1132432467445435,0.5165100417751207,0.5328790847845738,0.5845190120083656,0.008854974747551207,0.01766310076979775,0.9410673531441702,8.03183,76.20853333333334,31.159,31.159,21.7173,62.7542,62.7542,37.208,-149.56666666666666,0.9421993715734241,0.08706306969467074,0.017709949495102413,21.7173,0.04945821811467623,92.4430000000001,0.0,31.159,76.0467,8.03183,62.7542,190.0,69.8548,37.475344817884405,-94.69149306362652,62.581524552928705,65.42853194047353,53.38705443300485,45.99399746089604,62.4350148915753,796.6999525328083,2.0544604711342975,36.12077863200437,0.19006049923218798,0.008854974747551207,0.4441086575480114,1.0,0.9740174134364434,0.6560035941994432,0.5165100417751207,0.05671159161740293,0.04353153484733537,0.7098013654299266,,,0.5309129372975485,0.5283215609149982,0.6365458621013053,0.9225200874140446,0.17994217351279856,0.6242128743289134,0.6596684901220561,0.8365821596617605,0.47651176949256135,0.30951376585832324
1495760400,1.0,62.1657,36.8958,636.744,76.073,37.39373649520365,62.44279067641293,1.74633,0.2901295570160848,-2.81983,1.02434,0.0,0.23670000000000613,0.0,0.1529999999999987,0.0,-0.29229999999999734,0.0,0.09390000000000498,0.0,0.03719999999999857,0.0,-73.8900000000001,0.0,0.03850000000000264,-0.40749999999999975,0.0,0.0,37.1278,-0.23199999999999932,0.0,46.2062,0.0,0.3172290310588528,0.656763516589205,0.6305092984506853,0.9468718945857248,0.4208548519112164,0.023351384003246545,0.903623739760023,55.467,0.03815999999999997,0.0,76.073,76.1093,75.9618,75.9618,0.14750000000000796,0.14750000000000796,0.19105000000000177,78.4073,78.4073,72.9202,72.9202,5.487100000000012,5.487100000000012,5.513600000000001,9.443000000000001,9.443000000000001,9.309333333333331,-0.6630000000000109,0.0,76.0467,76.4673,75.9433,76.2997,76.1093,76.5132,0.4205999999999932,0.3564000000000078,0.40389999999999304,75.9618,76.1093,0.01850000000000307,-0.031899999999993156,0.0,0.0,0.026299999999991996,0.0,9.443000000000001,93.58797661115116,0.04593374106314917,0.3059746184872754,0.31594660513591805,1.0,1.0,6.3,12.6,12.6,-123.3,1454.04,-0.7999999999999972,0.0,190.0,31.08905,518.7425000000001,1288.4424999999999,22.108483333333332,-123.3,31.06993333333333,0.10288799569662321,0.5088683198628211,0.09637626023997707,0.45335237986608073,0.9766486159967535,0.6827709689411472,0.03257637477837638,0.5791451480887836,0.4090678795515891,1.0,0.1132432467445435,0.343236483410795,0.5328790847845738,0.5845190120083656,0.009884328198103191,0.01772780828102266,0.9410673531441702,7.62433,76.18903333333334,31.1975,31.1975,21.7545,62.458,62.458,37.1278,-144.34999999999997,0.9421993715734241,0.20577599139324643,0.019768656396206383,21.7545,0.04593374106314917,-103.35500000000002,0.0,31.1975,76.073,7.62433,62.458,189.337,69.9487,37.39373649520365,-98.54949495795415,62.44279067641293,65.63382472306176,53.45926979201144,46.50241973164117,62.576270797442156,680.369448145683,1.9457377580828685,36.04848962956743,0.05312810541427518,0.009884328198103191,0.3694907015493148,1.0,0.9766486159967535,0.5791451480887836,0.343236483410795,0.09637626023997707,0.10288799569662321,0.6827709689411472,,,0.44871474704307895,0.5011855048696214,0.8037561136023528,0.8570267870978616,0.656126594117961,0.5787891183505076,0.25959781893580997,0.5463256379899989,0.6439007959240033,0.8749599585893465
1495761000,1.0,61.3758,36.6878,594.372,75.742,37.134721396367894,62.30283868519423,1.66367,0.30047061307614964,-1.493,1.32683,0.0,0.13829999999999387,0.0,0.12570000000000192,0.0,-0.7899000000000029,0.0,-0.7434999999999974,0.0,0.2579999999999991,0.0,-30.039999999999964,0.0,0.10119999999999862,-0.07265999999999995,0.0,0.0,36.8958,-0.2079999999999984,0.0,46.3445,0.0,0.3404898482579707,0.9575784038417744,0.9200961139998614,0.9189643011222678,0.47708027680638965,0.023036850976973167,0.9625201206646108,55.5927,-0.08265999999999996,0.0,75.742,75.8097,75.6372,75.6372,0.17249999999999943,0.17249999999999943,0.18308333333333593,78.5752,78.5752,73.0468,73.0468,5.528399999999991,5.528399999999991,5.518416666666667,9.286200000000001,9.286200000000001,9.381616666666666,-0.6279999999999859,0.0,75.742,76.4673,75.6372,76.2997,75.8097,76.5132,0.7252999999999901,0.6624999999999943,0.7034999999999911,75.6372,75.8097,-0.32459999999998956,-0.2995999999999981,0.0,0.0,-0.33099999999998886,0.0,9.286200000000001,90.66802062390592,0.033025145431407894,0.3235811938680686,0.3059746184872754,1.0,1.0,3.7,7.5,7.5,-116.3,1424.0,7.0,0.0,189.337,31.1108,552.0546666666667,1305.5625,22.093249999999998,-116.3,31.218399999999995,0.07709003348087287,0.4821641521217772,0.03747987933538925,0.45335237986608073,0.9769631490230268,0.6595101517420293,0.031227377262519923,0.5229197231936104,0.4090678795515891,1.0,0.1132432467445435,0.04242159615822562,0.6299081691846884,0.6201672111388624,0.009612044710742198,0.01885150736852898,0.9334266126105024,7.55167,76.14286666666666,31.2987,31.2987,22.0125,62.1657,62.1657,36.8958,-137.81666666666666,0.9528641065152467,0.15418006696174574,0.019224089421484396,22.0125,0.033025145431407894,-42.37200000000007,0.0,31.2987,75.742,7.55167,62.1657,188.709,69.2052,37.134721396367894,-88.34585359930787,62.30283868519423,65.75593993965258,53.53878147195243,46.91250480057132,62.61869577567946,655.5475634187225,1.90627039775812,35.97784074220284,0.08103569887773224,0.009612044710742198,0.07990388600013863,1.0,0.9769631490230268,0.5229197231936104,0.04242159615822562,0.03747987933538925,0.07709003348087287,0.6595101517420293,,,0.37416166676765605,0.4462972631619664,0.7869704275123458,0.7601285459928965,0.36481311509107556,0.7982126016321898,0.6948580637060505,0.3834635340764292,1.0026896454075986,0.5912074967596129
1495761600,1.0,61.7353,36.4067,446.609,75.6622,36.94364951024854,61.879219113858554,1.90917,0.3138954247720167,0.440833,1.9338330000000001,0.0,0.0555000000000021,0.0,0.00730000000000075,0.0,0.35950000000000415,0.0,-0.7827000000000055,0.0,0.8659999999999997,0.0,-127.17000000000007,0.0,-0.057200000000001694,-0.9474999999999998,0.0,0.0,36.6878,-0.2811000000000021,0.0,46.4,0.023797973770447234,0.38339863089520543,0.8658013206749234,0.5541992676487353,0.9630417317883015,0.5579964048265034,0.023210162922541078,0.4172645316478969,55.6,0.24550000000000005,0.0,75.6622,75.7002,75.5313,75.5313,0.1688999999999936,0.1688999999999936,0.1668166666666669,78.752,78.752,73.2362,73.2362,5.515799999999999,5.515799999999999,5.5187,8.363,8.363,9.185399999999998,1.0519999999999925,0.0,75.6622,76.4673,75.5313,76.2997,75.7002,76.5132,0.8050999999999959,0.7683999999999997,0.8130000000000024,75.5313,75.7002,-0.10590000000000543,-0.10950000000001125,0.0,0.0,-0.07980000000000587,0.0,8.363,100.33391756424801,0.06888799046662941,0.31656267563919593,0.3235811938680686,1.0,1.0,6.2,12.4,12.4,-159.1,1296.83,-42.8,0.0,188.709,31.095249999999997,582.0986666666666,1321.4458333333332,22.14968333333333,-159.1,31.2459,0.34186565980535144,0.5815267967314757,0.5827354683521031,0.5249582926729406,0.9767898370774589,0.6166013691047946,0.027784012016176224,0.4420035951734966,0.4090678795515891,0.9762020262295528,0.09909944631069215,0.13419867932507654,0.7116609638896664,0.6201672111388624,0.0013802226481378335,0.01885150736852898,0.9410673531441702,6.60417,76.10479999999998,31.2415,,22.8785,,61.3758,36.6878,-131.84999999999997,0.9528641065152467,0.6837313196107029,0.002760445296275667,22.8785,0.06888799046662941,-147.76299999999998,0.0,31.2415,75.6622,6.60417,61.3758,189.761,68.4225,36.94364951024854,-100.36470749365373,61.879219113858554,66.27254646030032,53.597059668180606,47.26281781528279,62.64803867943871,445.12265726494485,1.9481432797139373,35.95306921278459,0.03695826821169844,0.0013802226481378335,0.4458007323512647,0.9762020262295528,0.9767898370774589,0.4420035951734966,0.13419867932507654,0.5827354683521031,0.34186565980535144,0.6166013691047946,,,0.48568317544014,0.28781362967159724,0.8169535608546508,0.7054872129005818,0.2931171902969671,0.7954539805444113,1.486883190866018,0.8241789859305307,0.21040153146996668,0.3667464782321715
1495762200,1.0,63.186,36.2352,528.936,75.7235,36.65618432720545,62.08378973838541,1.998,0.33467464395819124,6.33383,5.892997,0.0,-0.07049999999999557,0.0,-0.0694999999999979,0.0,1.4506999999999977,0.0,0.04430000000000689,0.0,0.06380000000000052,0.0,69.11000000000013,0.0,-0.09199999999999875,0.2765000000000004,0.0,0.0,36.4067,-0.17150000000000176,0.0,46.3295,0.04808617149554284,0.42429193879765104,0.2634224436857582,0.03633045189873474,0.9036608707166338,0.6315808381382142,0.026791728128394143,0.17278634597403753,55.5305,0.08882999999999996,0.0,75.7235,75.7918,75.5642,75.5642,0.22759999999999536,0.22759999999999536,0.16916666666666674,78.8455,78.8455,73.3267,73.3267,5.518799999999999,5.518799999999999,5.5180333333333325,8.2072,8.2072,8.993433333333332,-0.6169999999999902,0.0,75.6622,76.2043,75.5313,76.1037,75.7002,76.2003,0.5421000000000049,0.5724000000000018,0.5001000000000033,75.5642,75.7918,0.03289999999999793,0.09159999999999968,0.0,0.0,0.0613000000000028,0.0,8.2072,104.52537425440485,0.09259723253694771,0.31145604833994683,0.31656267563919593,1.0,1.0,6.7,13.8,13.8,-146.9,1365.94,12.199999999999989,0.0,189.761,31.149916666666662,599.0693333333334,1333.5016666666666,22.193558333333332,-146.9,31.2299,0.684358894442756,0.6229150522203216,0.8272136540259625,0.5786002194956126,0.9732082718716059,0.575708061202349,0.027360608669164788,0.36841916186178586,0.46302392058259634,0.9519138285044572,0.05704372026626969,0.7365775563142418,0.7116609638896664,0.6201672111388624,0.003908469097544444,0.0188455544398889,0.9410673531441702,6.88067,76.05657777777778,31.1495,31.1495,22.9423,61.7353,61.7353,36.4067,-132.46666666666664,0.9528641065152467,0.631282211114488,0.007816938195088888,22.9423,0.09259723253694771,82.32700000000006,0.0,31.1495,75.7235,6.88067,61.7353,189.144,68.4668,36.65618432720545,-103.43889470100481,62.08378973838541,67.0258733654409,53.654329395348284,47.526166195597995,62.64446232802724,506.0359781277797,1.9364430101025187,35.99550331940014,0.09633912928336613,0.003908469097544444,0.9636695481012653,0.9519138285044572,0.9732082718716059,0.36841916186178586,0.7365775563142418,0.8272136540259625,0.684358894442756,0.575708061202349,,,0.6839907359246766,0.4862174972566339,0.7928746818437361,1.516000290866621,0.42499662998292365,0.6974867167484504,1.6785464467840332,0.6070646957133979,0.24177154273670068,0.3613715951971759
