DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5309,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND63786,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1495929600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3023,66.471,66.2567,66.2567,0.2143000000000086,0.2143000000000086,0.22995000000000232,69.9,69.9,64.5,64.5,5.400000000000006,5.400000000000006,5.326849999999998,7.3851999999999975,7.3851999999999975,7.145683333333332,,,66.3023,74.6692,66.2567,74.3942,66.471,74.783,8.366900000000001,8.137500000000003,8.311999999999998,,,,,,,,,,,,0.04630839522888641,-0.02305094496818001,1.0,1.0,2.5,,4.7,,,,,189.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495930200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.62,67.7677,67.279,67.279,0.48870000000000857,0.48870000000000857,0.2687166666666698,69.9828,69.9828,64.5758,64.5758,5.4069999999999965,5.4069999999999965,5.342966666666664,8.281199999999998,8.281199999999998,7.219583333333333,,,66.3023,74.6692,66.2567,74.3883,66.471,74.783,8.366900000000001,8.131600000000006,8.311999999999998,,,,,,,,,,,,5.578297118218172E-4,0.04630839522888641,1.0,1.0,2.9,,6.0,,,,,189.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495930800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2038,69.3692,68.8538,68.8538,0.5153999999999996,0.5153999999999996,0.2888333333333364,69.8398,69.8398,64.4832,64.4832,5.3566,5.3566,5.3362333333333325,6.435500000000001,6.435500000000001,6.854466666666665,,,66.3023,73.2805,66.2567,73.2277,66.471,73.309,6.978200000000001,6.971000000000004,6.837999999999994,,,,,,,,,,,,0.0018458556433778323,5.578297118218172E-4,1.0,1.0,2.8,,5.699999999999999,,,,,188.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495931400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4068,70.5148,70.0708,70.0708,0.4439999999999884,0.4439999999999884,0.3492833333333346,69.6005,69.6005,64.3405,64.3405,5.259999999999991,5.259999999999991,5.344983333333332,5.0502,5.0502,6.676399999999999,,,66.3023,70.4068,66.2567,70.0708,66.471,70.5148,4.104500000000002,3.8141000000000105,4.04379999999999,,,,,,,,,,,,-0.0017321374900372774,0.0018458556433778323,1.0,1.0,2.7,,4.800000000000001,,,,,189.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495932000,1.0,60.9848,37.36,49.792,71.3032,,,3.288,0.6135088642237136,-5.28833,,,,,,,,,,,,,,,,,,,,,,45.2053,,0.6135088642237136,,,,0.11452180203621798,0.17556688652067054,0.8941024964088018,51.695,,,71.3032,71.4438,71.0057,71.0057,0.4380999999999915,0.4380999999999915,0.3946166666666665,69.4497,69.4497,64.202,64.202,5.247700000000009,5.247700000000009,5.3450999999999995,6.091800000000003,6.091800000000003,6.659533333333333,,,66.3023,71.3032,66.2567,71.0057,66.471,71.4438,5.0009000000000015,4.749000000000009,4.972799999999992,71.0057,71.4438,,,,,,,6.091800000000003,66.1616586019739,0.10213468733037513,0.0010504019848520682,-0.0017321374900372774,1.0,1.0,2.4,5.5,5.5,-94.5,1050.01,,,189.471,32.0895,49.792,1050.01,25.9977,-94.5,32.0895,0.9427094581033126,0.11458108379337473,0.10589750359119826,0.10589750359119826,0.8244331134793295,0.38649113577628635,0.17556688652067054,0.885478197963782,0.11452180203621798,,,,,,0.3670934356602402,0.7341868713204804,,4.10833,71.3032,,,25.9977,,,,-94.5,0.8941024964088018,0.11458108379337473,0.7341868713204804,25.9977,0.10213468733037513,,,32.0895,71.3032,4.10833,,189.532,63.7098,,-91.93448136518288,,,51.10496457116089,43.22303924079384,,75.25808912915386,3.0529529925230205,37.93048430015362,,0.3670934356602402,,,0.8244331134793295,0.885478197963782,,0.10589750359119826,0.9427094581033126,0.38649113577628635,,,0.26171667730422915,,,1.0997385475484265,0.8710325094840147,,0.5332174611943251,0.11892315835622173,0.6694884770614603
1495932600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9422,72.0753,71.6555,71.6555,0.41979999999999507,0.41979999999999507,0.4200499999999986,69.6593,69.6593,64.3,64.3,5.359300000000005,5.359300000000005,5.3384333333333345,7.839200000000002,7.839200000000002,6.847183333333334,,,66.3023,71.9422,66.2567,71.6555,66.471,72.0753,5.639899999999997,5.3988000000000085,5.604299999999995,,,,,,,,,,,,0.0010381465668658863,0.0010504019848520682,1.0,1.0,4.8,,8.7,,,,,189.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495933200,1.0,,,,72.6,,,,0.7616201582821298,,,,,,,,,,,,,,,,,,,,,,,,,0.7616201582821298,,,,0.18509290944061585,0.47478771595147584,0.5052635521818873,,,,,72.7137,,72.3213,,0.3924000000000092,,,69.7818,,64.379,,5.402799999999999,5.3389,,9.026,,,,,,,,,,4.97999999999999,5.042299999999997,4.945999999999998,,,,,,,,,9.026,96.34111921133636,,,0.0010381465668658863,,,,,12.899999999999999,,,,,,33.620850000000004,64.04275,1050.0549999999998,26.06195,-125.2,33.620850000000004,0.9366371940768106,0.12672561184637887,0.49473644781811266,0.49473644781811266,0.5252122840485242,0.23837984171787022,0.47478771595147584,0.8149070905593842,0.18509290944061585,,,,,,0.013609757838067933,0.7341868713204804,,4.21,,,,26.1262,,,,,0.8941024964088018,0.12672561184637887,0.027219515676135866,,0.08848812351543944,,,,,,,,,,,,,52.16587385044729,44.368215202227574,,,,38.478092382273175,,,,,0.5252122840485242,0.8149070905593842,,,,0.23837984171787022,,,,,,0.43082088846655514,0.5942080891559065,,,,0.27260824778598586
1495933800,1.0,61.5247,37.1068,81.7367,73.2148,37.432619392810125,,3.3495,0.7616201582821298,6.33283,8.07,0.0,0.22970000000000113,0.0,0.4206000000000003,0.0,0.144200000000005,0.0,0.23689999999999145,0.0,-0.1573999999999991,0.0,-0.11999999999989086,0.0,0.32809999999999917,-0.1200000000000001,0.0,0.0,37.1623,-0.0555000000000021,0.0,45.6327,,0.7563622918253949,,,0.779047049756836,0.23544971306908435,0.5340015993071249,0.17015533473824485,52.4653,0.14132999999999996,0.0,73.2148,73.2973,72.9177,72.9177,0.3796000000000106,0.3796000000000106,0.43154999999999905,69.8045,69.8045,64.4,64.4,5.404499999999999,5.404499999999999,5.3384833333333335,9.511499999999998,9.511499999999998,7.325699999999999,0.554000000000002,0.0,69.2038,73.2148,68.8538,72.9177,69.3692,73.2973,4.010999999999996,4.06389999999999,3.9281000000000006,72.9177,73.2973,0.5964000000000027,0.5836000000000041,0.0,0.0,0.6148000000000025,0.0,9.511499999999998,128.8827252943367,0.05208215158924206,0.003915447874443189,0.003915617863023017,1.0,1.0,2.5,4.6,4.6,-104.2,1049.98,21.0,0.0,189.432,34.24066666666667,69.94073333333333,1050.0299999999997,26.030899999999995,-104.2,35.31625,0.9559477222764654,0.12672561184637887,0.8298446652617552,0.8298446652617552,0.4659984006928751,0.24363770817460503,0.5340015993071249,0.7645502869309156,0.23544971306908435,,,,,,0.0247129495793283,0.7341868713204804,0.779047049756836,4.09,72.37266666666666,,,25.9688,,,37.1623,-107.96666666666665,0.8941024964088018,0.08810455544706919,0.0494258991586566,25.9688,0.05208215158924206,3.4432000000000045,0.0,35.4803,73.2148,4.09,61.3805,189.986,64.7832,37.432619392810125,-89.96204146348612,,,52.664852849159615,44.942711463188445,,63.41943795286244,3.0654995327730425,38.408663008898124,0.22095295024316397,0.0247129495793283,,,0.4659984006928751,0.7645502869309156,,0.8298446652617552,0.9559477222764654,0.24363770817460503,,0.3718754840360913,0.16499520983256996,,,0.5977590522087458,0.10777443199665279,,1.1440088753661746,0.08956606479666265,0.3761423365782189
1495934400,1.0,61.7517,37.1273,101.178,73.8008,37.370517179805255,,2.9435,0.7657315098177297,0.1425,-6.19033,0.0,0.20199999999999818,0.0,0.39639999999999986,0.0,0.22699999999999676,0.0,0.25660000000000593,0.0,-0.09860000000000113,0.0,0.11999999999989086,0.0,-0.8915999999999968,0.4113300000000004,0.0,0.0,37.1068,0.02049999999999841,0.0,45.8347,,0.7671019603295964,,,0.6647544038416218,0.23035654939733452,0.3868526071623767,0.6454440870921281,52.8617,-0.40600000000000014,0.0,73.8008,73.9095,73.525,73.525,0.3844999999999885,0.3844999999999885,0.4097333333333305,69.8155,69.8155,64.3658,64.3658,5.449700000000007,5.449700000000007,5.354000000000001,8.718500000000002,8.718500000000002,7.7062,-0.7589999999999861,0.0,70.4068,73.8008,70.0708,73.525,70.5148,73.9095,3.3939999999999912,3.4542,3.3947000000000003,73.525,73.9095,0.6073000000000093,0.6121999999999872,0.0,0.0,0.5859999999999985,0.0,8.718500000000002,91.26782765814217,0.0938671459324244,0.004415119895970163,0.003915447874443189,1.0,1.0,6.1,12.3,12.3,-124.7,1050.1,-20.5,0.0,189.986,34.327675,77.75005,1050.0475,25.990724999999998,-124.7,35.07373333333334,0.8851176858760872,0.20400487414746393,0.35455591290787186,0.7460676109008445,0.6131473928376233,0.2328980396704036,0.5191981284682126,0.7696434506026655,0.2341764221511469,,,,,,0.012283675994550549,0.5629966282800245,0.779047049756836,4.50133,72.7297,,,25.8702,,,37.1068,-112.15,0.8319378940796334,0.22976462824782562,0.024567351989101097,25.8702,0.0938671459324244,19.4413,0.0,34.5887,73.8008,4.50133,61.5247,189.227,65.0398,37.370517179805255,-106.23356375922828,,,52.872948794799356,45.11068803728257,,110.85834142889641,2.785312056956234,38.48079315733724,0.3352455961583782,0.012283675994550549,,,0.6131473928376233,0.7696434506026655,,0.35455591290787186,0.8851176858760872,0.2328980396704036,,0.6036999650178598,0.20789314033395948,,,0.6465415555172616,0.11031013283336327,,0.5919472540625113,0.1878482855128455,0.27482408723782453
1495935000,1.0,61.8408,37.1017,112.71,74.1567,37.471661781356616,,2.84417,0.7691891012121795,5.53517,5.39267,0.0,-0.1559999999999988,0.0,-0.013700000000000045,0.0,0.08910000000000196,0.0,0.001999999999995339,0.0,-0.12069999999999936,0.0,0.08000000000015461,0.0,-2.2192000000000007,0.09633999999999965,0.0,0.0,37.1273,-0.02559999999999718,0.0,45.6787,,0.7712762420947626,,,0.8370505357621757,0.2253796711559931,0.35153615637351565,0.4976644197583979,52.848,-0.0993299999999997,0.0,74.1567,74.3048,73.9085,73.9085,0.39629999999999654,0.39629999999999654,0.4017833333333319,69.5428,69.5428,64.0993,64.0993,5.4435,5.4435,5.384583333333336,6.620000000000001,6.620000000000001,7.967833333333333,0.13800000000000523,0.0,71.3032,74.1567,71.0057,73.9085,71.4438,74.3048,2.853499999999997,2.902799999999999,2.861000000000004,73.9085,74.3048,0.38349999999999795,0.395300000000006,0.0,0.0,0.35590000000000543,0.0,6.620000000000001,98.67806697435532,0.053723081473876985,0.0052161748688961205,0.004415119895970163,1.0,1.0,5.8,10.8,10.8,-120.6,1050.18,4.1000000000000085,0.0,189.227,33.936040000000006,84.74204,1050.074,25.942480000000003,-120.6,34.146166666666666,0.8501013384963461,0.26478097562756675,0.5023355802416021,0.6660901227516787,0.6484638436264843,0.22872375790523736,0.5043946576293004,0.7746203288440069,0.23290313123320944,,,,,,0.01360026598371569,0.3918063852395685,0.8370505357621757,4.59767,73.0151,,,25.7495,,,37.1273,-113.84000000000002,0.7697732917504649,0.2997973230073079,0.02720053196743138,25.7495,0.053723081473876985,11.531999999999996,0.0,32.3695,74.1567,4.59767,61.7517,189.365,65.0418,37.471661781356616,-102.78766848453984,,,52.81199039399982,44.89651351611978,,114.21991072169192,2.7180354460517373,38.48240519725674,0.1629494642378243,0.01360026598371569,,,0.6484638436264843,0.7746203288440069,,0.5023355802416021,0.8501013384963461,0.22872375790523736,,0.4974473280842806,0.3027437970836123,,,0.49151190882930834,0.3952498743273054,,0.9535334625967765,0.1286197154033903,0.04251673528200388
