unixtime,YEAR,MONTH,DAY,HOUR,MINUTE,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1440873600,2015,8,29,20,40,100.0,-26.8,561.366,1391.46,13.7745,7.516,642.313,0.0,70.1924,308.58799999999997,73.9146,-23.0975,-97.7883,1.94595,127.49600000000001,89.2402,0.893683,69.368,68.5098,88.7973,73.8234,1.97033,46.9138,89.3692,177.965,45.8548,-0.20253800000000002,53.292,2.05987,189.938,63.7591,100.0,29.8633,42.7733,677.26,36.1793,-27.9077,71.2918,25.9,-223.195,224.0,674.7560000000001,255.95,442.532,4.0,0.5447489999999999,10.2,19.8188
1440874200,2015,8,29,20,50,100.0,-27.0,364.931,1182.05,11.7052,6.1055,323.329,0.0,70.1461,256.052,72.4543,-20.2812,-81.7347,1.9166299999999998,197.229,85.7029,0.940522,70.3028,66.4609,84.7859,73.9875,1.953,46.99100000000001,85.6156,177.96900000000002,43.1686,4.3719,51.1112,0.8645219999999999,189.622,61.7982,100.0,29.4594,40.7226,677.462,36.1751,-26.4427,71.1806,28.7,-221.813,222.609,313.884,119.75,134.563,3.4,0.925969,10.2,108.01899999999999
1440901200,2015,8,30,4,20,100.0,-5.3,1119.03,1679.97,16.6436,9.70767,1438.57,0.0,68.0757,476.337,72.087,-21.0073,-98.991,1.42708,199.088,79.0661,0.99708,71.5462,68.3615,78.1015,72.0435,1.439,42.3079,78.7455,177.96900000000002,44.6896,-2.7762,51.2562,0.281615,189.13400000000001,63.4754,100.0,25.8698,40.4481,682.431,31.6389,-27.1396,69.2655,5.4,-135.711,142.711,1438.37,2.08069,72.7848,1.8,0.994872,16.2994,1292.42
1440901800,2015,8,30,4,30,100.0,-6.0,1008.78,1679.93,16.6289,9.41533,1303.86,0.0,69.4118,445.13599999999997,73.3833,-21.4703,-69.1701,1.46757,190.62400000000002,81.14,0.99803,70.41,68.6482,80.1354,73.346,1.48033,42.0594,80.7563,173.791,44.1513,-4.12901,50.9202,0.304827,188.762,63.8014,100.0,25.6976,40.0401,684.549,31.416999999999998,-27.2446,70.6911,6.2,-133.898,123.102,1291.89,1.17462,61.8917,1.8,0.977018,16.2994,1205.01
1440902400,2015,8,30,4,40,100.0,-7.7,978.135,1679.96,16.6442,9.22233,1258.8,0.0,70.3588,431.715,74.1633,-21.2929,-84.99600000000001,1.5099,199.78799999999998,81.9845,0.99716,69.5401,68.7263,81.0033,74.2932,1.52983,41.8903,81.5425,168.28099999999998,43.4025,-0.836475,50.2441,0.212312,189.426,63.9086,100.0,25.6945,39.4855,684.575,31.3446,-27.1417,71.7065,7.6,-140.391,143.391,1246.74,1.09315,55.1071,1.9,0.994132,16.2994,1134.79
1440903000,2015,8,30,4,50,100.0,-30.7,587.444,1478.81,14.6324,7.495,673.096,0.0,70.9582,302.85,73.9675,-21.4831,-105.061,1.9437,200.02700000000002,80.513,0.9851270000000001,67.392,67.4405,79.6254,75.0237,1.9848299999999999,41.5614,80.1658,168.28099999999998,40.6973,-3.64954,47.595,0.680451,189.845,62.8322,100.0,25.6152,37.5422,685.41,31.5244,-27.2848,72.2822,30.8,-210.602,224.102,657.694,87.5856,121.165,3.4,0.981619,12.0,424.725
1440903600,2015,8,30,5,0,100.0,-27.3,581.868,1472.34,14.5722,7.56,638.863,0.0,70.8155,299.009,72.1212,-21.1991,-113.3,1.8571900000000001,200.125,77.9469,0.9830780000000001,62.3733,66.1601,77.1073,75.0112,1.8945,41.4035,77.6849,168.28099999999998,39.079,-3.4794,45.9469,0.629598,189.89,61.5515,100.0,25.6215,36.2733,685.039,31.5541,-27.1042,72.0617,27.2,-207.40599999999998,203.703,640.5,75.7875,76.5023,3.0,0.9841489999999999,12.7988,487.069
1440953400,2015,8,30,18,50,100.0,-21.8,761.752,1614.59,15.9769,8.545,962.905,0.0,70.149,355.289,74.7032,-15.6685,-112.319,1.7659,199.61,88.574,0.9908600000000001,56.3382,69.1563,87.9035,73.4869,1.7915,45.5078,88.7132,177.96900000000002,47.1136,-3.97586,53.9631,0.896334,189.49099999999999,63.667,100.0,31.5013,43.9347,684.857,36.5001,-17.0073,71.2233,22.4,-203.422,201.727,934.303,93.8888,192.87,2.7,0.953098,12.7988,576.975
1440954000,2015,8,30,19,0,100.0,-58.0,880.456,1627.73,16.1082,9.158999999999999,1085.08,0.0,70.7509,404.13199999999995,76.671,-15.8021,-65.88600000000001,2.13461,199.935,89.5223,0.995288,57.0965,69.282,88.9327,74.1194,2.15417,45.5072,89.7261,177.96900000000002,47.2968,-2.57329,53.9833,1.30776,189.558,63.8633,100.0,31.4439,43.96,683.9780000000001,36.405,-17.4271,71.8751,58.1,-312.797,302.39799999999997,1083.01,92.4686,304.449,7.7,0.895071,12.6994,531.3
1440954600,2015,8,30,19,10,100.0,-115.7,1124.73,1681.0,16.6388,12.7272,1444.97,0.0,72.0147,500.559,78.5758,-17.8686,31.7559,9.416739999999999,158.306,93.6345,0.9990000000000001,58.6493,70.4349,92.94,75.4248,9.453,45.7539,93.9125,177.96900000000002,50.3117,0.457425,56.7235,1.9624599999999999,189.78799999999998,65.17,100.0,30.3586,46.0261,680.9680000000001,36.2357,-19.2354,73.363,128.5,-485.789,488.289,1469.08,21.0964,92.8654,17.9,0.891007,15.9,1287.69
