unixtime,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1438107600,100.0,-42.3,1047.45,1673.83,16.5773,10.0703,1340.48,0.0,68.9116,451.37800000000004,73.1992,-17.0598,-86.6567,1.87117,200.945,92.6311,0.997132,76.0526,72.5488,92.6447,75.6614,1.89533,41.9695,92.822,259.531,50.751000000000005,-2.60201,58.831,0.774696,190.06,64.7136,100.0,31.7229,47.1012,677.4630000000001,35.2526,-19.4438,76.0516,42.1,-272.914,281.60900000000004,1348.99,26.1447,213.301,4.7,0.9754870000000001,14.7994,874.388
1438108200,100.0,-30.0,1099.41,1677.52,16.6054,10.0487,1405.27,0.0,69.6574,469.355,75.2672,-20.8351,-89.1099,1.79725,200.97799999999998,95.28299999999999,0.9972469999999999,77.0696,73.1018,95.5965,76.926,1.81433,42.3339,95.7592,259.531,51.7013,3.74891,59.6514,0.8097479999999999,189.785,65.4823,100.0,31.5215,47.8208,677.543,33.9886,-25.8955,77.3136,31.4,-221.984,219.78900000000002,1411.27,11.8039,207.12400000000002,6.8,0.968583,15.9,919.8
1438108800,100.0,-48.7,1011.1,1658.91,16.4221,9.7875,1250.23,0.0,70.52,440.597,75.8101,-21.0126,-84.0826,2.05843,200.924,94.7278,0.9964620000000001,77.7588,73.1471,94.9761,77.921,2.07,42.6332,94.9929,259.531,50.3658,4.37606,58.406000000000006,1.13888,190.153,65.587,100.0,31.3514,46.7357,676.377,33.9859,-27.0469,78.1809,48.8,-289.10900000000004,281.406,1254.62,41.1896,330.176,6.9,0.954865,15.0,781.2
1438109400,100.0,-26.2,1174.75,1680.19,16.6387,10.4285,1502.03,0.0,72.9178,498.439,76.0379,-20.4267,-63.0194,1.72974,200.997,96.8031,0.998617,78.3976,73.9111,96.6994,79.0567,1.74017,42.946999999999996,96.6488,259.531,52.6626,5.801480000000001,60.479,0.524433,189.69799999999998,66.5502,100.0,31.053,48.576,675.952,34.3067,-26.2666,79.1396,25.3,-222.99200000000002,220.99200000000002,1513.25,4.04398,94.4081,3.7,0.9723700000000001,16.5,1344.0
1438110000,100.0,-26.6,1125.94,1679.38,16.63,10.0945,1434.25,0.0,74.556,478.186,76.1953,-20.5956,-83.48299999999999,1.6519599999999999,200.99900000000002,97.4329,0.997633,78.8823,74.2374,97.5427,80.4568,1.662,43.1994,97.4295,259.531,52.5719,-0.109875,60.4509,0.603761,189.989,67.0197,100.0,30.9613,48.4228,675.013,34.4761,-26.4019,80.4433,26.0,-209.90599999999998,221.109,1457.53,6.63665,170.446,3.9,0.992115,16.2,1021.91
1438110600,100.0,-11.1,825.404,1669.51,16.5285,9.072000000000001,1050.8,0.0,75.4335,373.858,75.9993,-20.1123,-94.9732,1.56938,200.97400000000002,95.573,0.9950629999999999,79.1669,73.9304,95.5778,81.4043,1.58283,43.3373,95.4049,259.531,49.6892,-2.73694,57.9573,0.445136,189.516,66.6971,100.0,30.8158,46.1152,675.1669999999999,34.0241,-25.9439,81.2785,11.7,-158.195,143.195,1025.59,17.7074,134.855,2.3,0.9876879999999999,15.6994,870.056
1438111200,100.0,-20.2,692.1110000000001,1585.2,15.6925,8.24383,848.938,0.0,75.2911,330.51099999999997,75.2762,-20.918000000000003,-101.211,1.78625,185.16,92.4974,0.9882479999999999,79.0581,73.2308,92.4674,81.5892,1.80767,43.4262,92.3244,264.22,47.0459,3.70226,55.4106,0.9580489999999999,189.722,65.9558,100.0,30.4227,43.96,675.127,33.3292,-26.4496,81.329,20.2,-192.305,202.305,915.6,138.5,169.49900000000002,2.9,0.916502,11.7,349.913
1438380600,100.0,-48.1,914.9780000000001,1666.94,16.5042,9.1545,1175.58,0.0,93.9073,408.43199999999996,72.2021,-19.7179,-118.194,1.9686099999999997,201.229,98.2548,0.993825,75.2835,70.9786,98.1701,101.00200000000001,1.98983,43.3388,98.0488,45.1563,37.9914,0.098925,47.2288,0.866139,189.87599999999998,64.3821,100.0,15.1386,34.6541,691.314,27.5342,-22.6724,100.02,48.2,-242.609,255.109,1148.96,35.7944,179.013,5.9,0.9799329999999999,14.5988,852.3380000000001
1438398600,100.0,-28.9,1149.43,1680.05,16.6351,9.89167,1471.45,0.0,84.1018,482.76199999999994,72.6811,-18.0426,-100.57,1.6939099999999998,200.93200000000002,98.1536,0.997067,72.2759,69.3614,98.2711,90.5389,1.70617,34.0489,98.4666,46.0938,37.1743,-2.69273,46.2177,0.59609,189.39700000000002,62.0523,100.0,13.9134,32.1959,675.893,25.1939,-23.3979,91.0405,28.7,-186.91400000000002,180.11700000000002,1463.7,6.01222,107.656,5.7,0.988175,16.2994,1297.93
1438399200,100.0,-51.2,1185.75,1680.18,16.6388,9.95967,1515.04,0.0,84.8042,496.556,72.6263,-18.4331,-97.6527,2.01399,201.018,97.137,0.997265,72.2969,69.4052,97.1797,91.0634,2.03283,33.9672,97.2541,46.0938,36.4573,-5.2679599999999995,45.3542,0.8425889999999999,189.771,62.1864,100.0,14.0613,31.5917,675.9119999999999,24.9665,-23.7648,91.6329,50.8,-258.695,261.89799999999997,1528.28,8.231639999999999,156.219,6.3,0.977351,16.2994,1156.18
1438399800,100.0,-42.7,1118.53,1678.44,16.6191,9.80167,1431.19,0.0,85.1645,472.30699999999996,72.1486,-18.0285,-103.11,1.8263599999999998,201.012,94.99600000000001,0.9966780000000001,72.1036,69.3631,94.9514,91.4194,1.835,33.8989,94.9211,46.0938,40.558,-2.2133599999999998,49.5676,0.767254,189.06099999999998,61.9711,100.0,14.0154,37.1289,676.775,24.5158,-22.4792,92.0025,43.2,-229.90599999999998,238.305,1427.87,13.0111,147.701,4.8,0.9812420000000001,15.6994,1114.05
1453673400,100.0,-14.4,893.743,1679.96,16.6394,8.70983,1153.34,0.0,59.0672,392.31,72.8477,-12.9104,-115.895,1.7476200000000002,193.51,85.899,0.9944280000000001,69.4089,70.9782,86.1214,70.7848,1.7653299999999998,33.2969,86.3979,176.446,38.7302,5.14586,46.5726,0.214779,189.372,63.2858,100.0,16.453,35.1406,680.193,30.1618,-13.2175,66.7083,14.6,-139.297,143.0,1144.63,0.9621700000000001,32.5573,2.4,0.9826530000000001,16.5,1107.88
1453674000,100.0,-17.9,846.405,1679.98,16.6379,8.527330000000001,1095.56,0.0,60.0243,377.555,73.7839,-12.3364,-120.238,1.8729,200.424,86.0863,0.993468,69.8551,70.1126,86.302,71.6648,1.8965,33.2188,86.5652,182.5,39.2631,-2.62268,47.0101,0.207986,189.28099999999998,62.4324,100.0,16.6709,36.3576,683.804,29.3986,-11.8667,67.4966,18.3,-148.805,143.703,1103.75,0.905999,26.8944,2.4,0.994508,16.5,1044.49
1453674600,100.0,-13.2,889.2819999999999,1680.08,16.6355,8.8845,1139.69,0.0,60.8582,391.522,74.6538,-12.2015,-118.39200000000001,1.6780099999999998,200.423,86.4616,0.9941030000000001,70.1454,69.5764,86.6379,72.4554,1.6995,33.0394,86.8906,182.5,42.022,-1.58235,49.7566,0.36349699999999996,189.601,61.8697,100.0,16.1191,39.0581,681.9110000000001,28.6367,-11.8093,68.27,12.6,-131.594,142.594,1100.79,0.705294,83.2538,2.2,0.9973049999999999,16.5,1038.19
1453675200,100.0,-8.3,974.7660000000001,1680.04,16.6417,9.15817,1252.75,0.0,61.9976,420.064,75.34899999999999,-11.9494,-113.465,1.54419,200.59,87.7861,0.9953649999999999,70.2969,69.3881,87.9761,73.3683,1.55467,32.9028,88.2601,182.5,43.0026,-3.4565300000000003,50.6636,0.29407,189.375,61.6418,100.0,14.8619,39.7125,679.123,28.4061,-11.7304,69.1838,8.2,-108.508,103.008,1235.33,0.525011,61.141000000000005,1.9,0.9946709999999999,16.5,1166.29
1453675800,100.0,-5.2,1002.05,1679.97,16.6387,9.43683,1294.6,0.0,63.2799,429.527,75.9872,-11.96,-114.988,1.45804,200.58900000000003,89.2063,0.9955629999999999,70.4008,69.2987,89.4366,74.4414,1.4669999999999999,32.7434,89.7704,182.5,44.2082,2.1497599999999997,51.7865,0.277468,189.21200000000002,61.608999999999995,100.0,15.8551,40.911,679.817,28.1693,-11.7005,70.318,5.3,-101.008,102.305,1290.98,0.48124300000000003,23.8052,1.7,0.9965040000000001,16.5,1243.59
1453676400,100.0,-12.8,917.423,1680.0,16.6408,8.829830000000001,1184.59,0.0,64.3338,401.077,76.5909,-12.257,-119.554,1.6778,200.489,89.6427,0.994397,70.8007,69.2136,89.8134,75.3881,1.696,32.5656,90.1366,182.5,43.7446,1.55542,51.4724,0.21150500000000003,188.815,61.3871,100.0,14.8791,40.422,681.545,28.848000000000003,-11.9991,71.317,12.8,-127.094,122.0,1198.71,0.67298,34.8052,2.3,0.997927,16.5,1111.29
1453677000,100.0,-6.0,1053.13,1680.03,16.6374,9.3425,1347.1,0.0,65.4136,445.48,77.0653,-11.7881,-115.134,1.48069,200.638,90.7749,0.995843,71.2149,69.3009,90.9663,76.2525,1.49433,32.4062,91.2887,182.5,44.1885,1.00294,51.7116,0.242436,189.301,61.4098,100.0,15.0266,40.7698,676.237,28.750999999999998,-11.708,72.23899999999999,5.9,-100.898,102.398,1356.34,0.502642,45.8444,1.7,0.998242,16.5,1242.68
1453677600,100.0,-11.5,880.186,1679.51,16.6266,8.7555,1151.19,0.0,66.5803,389.82099999999997,77.5357,-12.3171,-120.28299999999999,1.7311599999999998,200.703,91.5084,0.9937819999999999,71.4562,69.1984,91.6793,77.2474,1.7511700000000001,32.2083,92.007,182.5,44.1947,2.34341,51.9027,0.30805,189.101,61.3102,100.0,14.2368,40.766,684.666,29.4544,-11.8343,73.2967,12.0,-125.20299999999999,122.398,1165.24,1.41373,103.06299999999999,2.3,0.9970690000000001,16.5,999.075
1453678200,100.0,-16.0,757.5169999999999,1650.48,16.3395,8.24217,956.7230000000001,0.0,66.9636,346.07599999999996,77.7447,-10.9376,-120.21799999999999,1.985,200.623,90.0565,0.9915950000000001,71.553,69.122,90.2341,77.715,2.0145,32.0508,90.5546,182.5,40.6577,3.66154,48.4353,0.230638,189.34900000000002,62.3377,100.0,13.5417,37.3792,680.325,28.7875,-10.3062,73.7568,16.2,-144.406,142.305,972.3,26.3794,44.2939,2.4,0.9954129999999999,15.6994,864.938
1453678800,100.0,-17.4,768.298,1633.75,16.1723,8.242,966.1610000000001,0.0,67.3277,349.27099999999996,77.7114,-11.8133,-120.321,1.93303,200.697,89.3906,0.991367,71.2686,69.616,89.5614,78.0945,1.9580000000000002,31.8837,89.9113,182.5,39.434,3.71003,47.0846,0.45451099999999994,189.453,62.9782,100.0,13.2531,36.2004,679.796,29.2738,-11.3191,74.0968,17.7,-143.305,161.406,953.2689999999999,47.1561,115.277,2.5,0.9912559999999999,15.0994,785.138
1453679400,100.0,-19.2,719.753,1608.93,15.9207,8.02267,881.1610000000001,0.0,67.2882,333.856,76.8818,-12.1448,-120.34899999999999,2.001,193.282,87.7166,0.9902770000000001,70.4298,68.79,87.8755,78.1284,2.02933,31.7549,88.2245,186.804,37.9742,5.80234,45.3191,0.369297,189.445,61.3312,100.0,13.0165,34.7833,682.1669999999999,31.1781,-11.4901,74.1874,18.6,-155.297,141.602,894.4689999999999,38.9268,59.0883,2.6,0.982943,15.1988,796.688
1453680000,100.0,-11.2,935.7510000000001,1680.11,16.6447,8.924669999999999,1201.24,0.0,67.812,408.088,76.6337,-11.8868,-119.64399999999999,1.6828900000000002,192.144,88.3228,0.9945620000000001,70.0428,69.7574,88.4712,78.5401,1.70583,31.6467,88.8421,194.804,39.5178,5.817069999999999,47.2473,0.46831999999999996,189.365,63.317,100.0,13.8279,36.3306,683.155,27.9643,-10.8409,74.5781,10.7,-120.594,121.992,1232.11,0.851411,94.5953,2.5,0.979223,16.5,1023.75
