TRAINING,VALIDATION
0.00444724794529,0.00184719302873
0.000334917188353,0.000180744802028
8.31804458771e-05,9.419263106e-05
4.90536083862e-05,7.61789415835e-05
3.85528963776e-05,7.07809356467e-05
3.22203757828e-05,5.69914315784e-05
2.56568896364e-05,4.88003497532e-05
2.42497409192e-05,5.39925537366e-05
1.94203837893e-05,4.41633339557e-05
1.6466494849e-05,3.90752639478e-05
1.52235481813e-05,3.04297118244e-05
1.49086405425e-05,2.67450996574e-05
1.4148655356e-05,2.29801513776e-05
1.22644415069e-05,4.70092777413e-05
1.12561436553e-05,2.94058527582e-05
1.09359381578e-05,2.1370102226e-05
8.96143734326e-06,2.06621139663e-05
1.00493562062e-05,1.97617608847e-05
9.04403398494e-06,2.04553151006e-05
8.20501998587e-06,2.83517474057e-05
8.72185858029e-06,3.17361729219e-05
7.96489487645e-06,1.26539058697e-05
7.58514784679e-06,3.66227707098e-05
6.15441606386e-06,3.94768853983e-05
8.68759897568e-06,2.34010087256e-05
6.05310069041e-06,1.88179716608e-05
6.06144802148e-06,1.12454081541e-05
6.96929158872e-06,1.0416693224e-05
4.98187402661e-06,1.19246485825e-05
6.25355878388e-06,3.64333528153e-05
5.6583632808e-06,1.35503965721e-05
5.56776187275e-06,1.42249481135e-05
5.3915104383e-06,2.46901503082e-05
5.64576194661e-06,1.1717789543e-05
6.22573050259e-06,9.28967417748e-06
3.96077553838e-06,9.5404062299e-06
5.40957882718e-06,1.23774811769e-05
4.81406424277e-06,2.20110983769e-05
4.2113166581e-06,1.06491158789e-05
5.19708309798e-06,1.92549329423e-05
4.13073333361e-06,8.61303162279e-06
4.88814782437e-06,2.28962297745e-05
3.67511228045e-06,2.13397995749e-05
4.6271621987e-06,1.71289994392e-05
4.67749921211e-06,1.13241128805e-05
3.90282491977e-06,1.66845653255e-05
4.25408885244e-06,6.53482127267e-06
3.56050240904e-06,1.41132034539e-05
3.58359440884e-06,1.23639195585e-05
4.34035295864e-06,7.21704984785e-06
3.30941130716e-06,6.6570580652e-06
4.43763895989e-06,1.03629736077e-05
3.29174333387e-06,7.07175407418e-06
4.18262912371e-06,8.70262873372e-06
4.23178070037e-06,5.81902458579e-06
2.99159137941e-06,5.51151502336e-06
3.15331582618e-06,6.16780386016e-06
3.03192059565e-06,5.9584772844e-06
3.39598323905e-06,8.37202590432e-06
3.49067652264e-06,6.08309213713e-06
2.80452078702e-06,7.58357754404e-06
3.272341248e-06,1.33754839681e-05
3.82562547102e-06,9.08512595103e-06
2.91965784688e-06,4.5768295493e-06
3.67082952022e-06,4.87526434233e-06
2.29206855515e-06,5.96842341834e-06
3.21182929966e-06,1.05441681411e-05
3.35095405477e-06,5.31974613525e-06
2.82115819766e-06,4.48405738619e-06
2.53370747129e-06,4.20950560895e-06
2.73166356776e-06,5.63717610811e-06
3.30397743552e-06,8.33228484766e-06
3.32929734507e-06,4.08321340008e-06
2.64516662293e-06,5.89422842049e-06
2.41049866845e-06,7.03142230748e-06
3.10111825822e-06,8.68474341287e-06
2.30485993221e-06,3.79252127175e-06
3.28476008854e-06,7.78231779856e-06
2.22749327029e-06,2.44407620373e-05
2.3915471942e-06,4.93126981899e-06
2.50250123581e-06,1.38224584721e-05
3.06144236835e-06,8.87192539948e-06
2.6701890399e-06,1.04306310686e-05
2.49639031309e-06,3.69583493957e-06
2.9222037662e-06,4.57419705825e-06
2.5781771339e-06,5.11116273483e-06
2.48476097577e-06,5.79036320923e-06
1.93074069002e-06,5.1385857345e-06
2.43424858942e-06,5.26946896063e-06
2.77247698891e-06,4.2041746456e-06
2.60160121743e-06,5.48427778859e-06
1.96300713845e-06,4.03096968277e-06
1.96796961038e-06,4.43464390379e-06
4.16909761471e-06,3.83711311723e-06
1.86980971074e-06,7.16737231795e-06
1.55785239141e-06,2.96617119542e-06
3.008505779e-06,6.17794364213e-06
1.94543088406e-06,4.13548417672e-06
1.96523667442e-06,9.22772658433e-06
2.59943877719e-06,3.39460335543e-06
2.13621037733e-06,3.49899420133e-06
1.81934503353e-06,6.8875323768e-06
1.955487919e-06,3.77659947178e-06
3.04298504904e-06,2.74658597576e-06
2.24257791511e-06,9.1528311353e-06
1.74085826808e-06,3.03815055166e-06
2.33970844716e-06,3.02452814204e-06
1.93584892245e-06,2.69454668876e-06
1.59426491735e-06,7.77835737327e-06
2.52690697254e-06,3.872389687e-06
2.05491919093e-06,8.29447309772e-06
1.89810594499e-06,4.26872572199e-06
1.66233101567e-06,3.04707735217e-06
2.79402217797e-06,5.24604463313e-06
1.47192467893e-06,2.80425577123e-06
1.99012693362e-06,2.57539919836e-06
2.04262078919e-06,3.38058117792e-06
2.06804241042e-06,2.70534488619e-06
1.57795742439e-06,6.23833775705e-06
2.20857859867e-06,3.06625407385e-06
2.00580139871e-06,5.532513139e-06
2.58148910091e-06,4.59949988179e-06
1.61591460376e-06,3.27199392844e-06
1.47391942515e-06,3.26931956629e-06
2.20926066691e-06,2.62358262218e-06
1.59040480003e-06,4.66723090947e-06
1.75906881826e-06,4.67181257663e-06
1.55103434791e-06,2.88651258344e-06
1.63725949267e-06,9.25450625223e-06
2.59781848809e-06,8.84899254879e-06
1.3290121809e-06,2.61823002311e-06
1.44883009304e-06,2.73964233436e-06
1.74665995362e-06,2.50575050192e-06
2.20300475009e-06,2.46885583581e-06
1.5933696677e-06,1.00841393088e-05
1.38274881574e-06,3.86240982468e-06
2.20068160769e-06,3.45296386121e-06
1.87989054009e-06,6.94269556941e-06
1.42503114974e-06,3.75926725422e-06
1.49259145946e-06,2.66962037632e-06
1.56403575698e-06,1.05555159538e-05
1.9233315187e-06,2.30054989852e-06
1.73462255828e-06,2.53411994408e-06
1.60349871572e-06,3.40389211106e-06
1.57648176165e-06,1.89441797565e-06
1.86202286372e-06,2.23008119648e-06
2.01790393385e-06,4.94408794817e-06
1.19750909108e-06,2.12463220404e-06
1.83217109876e-06,2.2203443882e-06
1.60475767292e-06,2.24097597773e-06
1.40141670038e-06,1.79125067725e-06
1.41228153038e-06,3.40068710805e-06
1.75531598379e-06,3.79468507375e-06
1.76305470317e-06,2.75363370276e-06
1.54175965626e-06,2.64920785634e-06
1.45325795234e-06,2.06211349862e-06
1.35414615333e-06,1.80857130962e-06
1.61766482154e-06,1.87518388265e-06
1.55804935144e-06,3.7398077104e-06
1.61189032157e-06,4.23919748745e-06
1.71206259241e-06,7.4520921915e-06
1.41360409021e-06,2.2020558153e-06
1.33472279783e-06,2.0115314023e-06
1.88952520207e-06,1.71781426945e-06
1.13849289371e-06,2.11247348699e-06
1.48282746946e-06,2.14753084187e-06
1.55287252506e-06,2.6132017022e-06
1.20340818135e-06,2.31850597103e-06
1.34043194591e-06,3.87595536831e-06
1.89429300397e-06,2.17045939591e-06
1.41939920759e-06,8.75155474456e-06
1.51751492864e-06,2.4561966343e-06
1.67922063863e-06,4.30801852469e-06
1.28428686012e-06,3.98485125933e-06
1.66958929155e-06,2.1240139995e-06
9.6899176831e-07,2.74483487379e-06
1.05459532947e-06,3.07871336666e-06
1.71697898558e-06,1.49163646724e-06
1.36148596044e-06,1.79549738795e-06
1.09157975361e-06,3.52852393621e-06
1.9324358672e-06,2.01181095968e-06
1.20035592953e-06,3.85520488197e-06
1.34947333188e-06,1.58936249321e-06
8.83048698155e-07,2.47707987668e-06
1.75024766318e-06,1.63222681363e-06
1.14881517858e-06,1.8683730604e-06
1.37912982238e-06,2.30919974994e-06
1.215769585e-06,2.1766319806e-06
1.79465846902e-06,2.73372189797e-06
9.44794254525e-07,3.21928293733e-06
1.55761582107e-06,1.58608108486e-06
1.16731997038e-06,2.06453273274e-06
1.22892807437e-06,1.66390807999e-06
1.50224139855e-06,1.78228210688e-06
1.23958761449e-06,1.78358253964e-06
1.31017670041e-06,4.46333632193e-06
1.12881279866e-06,1.05050017042e-05
1.54035874533e-06,1.47569012653e-06
1.1129876567e-06,1.4752111427e-06
1.35234588637e-06,2.24075313311e-06
1.29593011398e-06,1.75563274506e-06
1.00183523294e-06,1.40474876735e-06
1.46507236491e-06,1.43051775869e-06
1.11755221109e-06,1.59851136849e-06
1.7018002738e-06,1.65648333539e-06
1.10942501016e-06,3.19079557462e-06
1.30717269091e-06,2.13188008119e-06
1.00743690353e-06,2.60578208212e-06
1.31747318463e-06,1.88747940212e-06
1.10558264173e-06,6.32869399117e-06
1.65252086063e-06,2.14068765341e-06
1.13441129442e-06,1.30977663996e-06
8.98616300155e-07,2.67684102575e-06
1.44162771243e-06,1.3248748243e-06
1.57681237644e-06,2.47303352724e-06
9.16276047363e-07,1.46485342386e-06
1.44256660765e-06,5.3612390627e-06
1.08416399756e-06,7.64668638901e-06
1.00427474416e-06,3.27282600871e-06
1.10583922066e-06,1.53124172649e-06
1.33995796304e-06,1.74900234749e-06
9.27609239758e-07,9.05343311945e-06
1.35012711292e-06,2.29090877057e-06
1.28046983741e-06,1.99413519671e-06
1.12700965113e-06,2.71394425439e-06
1.04135336267e-06,2.81895261259e-06
1.23251731817e-06,1.9891837844e-06
1.43250598751e-06,2.19321528812e-06
1.1542161969e-06,1.36061241247e-06
1.34524893054e-06,1.47017936029e-06
8.78338535524e-07,1.66527109641e-06
1.34888638571e-06,1.13747563994e-06
9.03019485958e-07,2.32547327263e-06
1.19434041394e-06,1.04314285073e-06
1.14295078598e-06,2.36562906875e-06
1.23903710227e-06,2.15202508368e-06
1.01940001998e-06,1.27474573763e-06
1.23835011046e-06,1.49547392282e-06
8.63632137956e-07,1.25912240155e-06
1.85293994313e-06,3.56409952181e-06
8.11212201991e-07,1.26430594016e-06
8.98741769963e-07,1.36576330102e-06
7.96775708681e-07,1.19443207404e-06
1.043350648e-06,1.59764803534e-06
1.8589324238e-06,1.59105569457e-06
6.63750251909e-07,1.32338667953e-06
1.49732317996e-06,1.42179402363e-06
6.77884780048e-07,1.29732730033e-06
1.00768481246e-06,1.48488403776e-06
1.06496907634e-06,3.36637913932e-06
8.51331365123e-07,3.97956391051e-06
1.48077794729e-06,1.34351965716e-06
9.01927240059e-07,7.55312242403e-06
9.06213779552e-07,8.4556529453e-06
1.42914019773e-06,1.11298160302e-06
1.1369251725e-06,1.94815467911e-06
6.75441194383e-07,1.15321074103e-06
1.04332410353e-06,5.73782917377e-06
1.05646777768e-06,2.45476768716e-06
1.20739082133e-06,1.17206979753e-06
9.65778687189e-07,1.2034034205e-06
1.0352629108e-06,1.17474008681e-06
1.15522674861e-06,1.18775993674e-06
8.04918852419e-07,1.72525847169e-06
1.40174867086e-06,1.33002073224e-06
8.80786357439e-07,3.1549242148e-06
7.93646107736e-07,1.09046557948e-06
1.35047975102e-06,2.50649767429e-06
8.25784563371e-07,1.32570213785e-06
1.17565092268e-06,2.80984474994e-06
1.13486652147e-06,1.00961535549e-06
1.05544567656e-06,1.37492981715e-06
6.54104729788e-07,9.61535007667e-07
1.06862522047e-06,1.49618075926e-06
1.19045103299e-06,1.45259612186e-06
1.57475147569e-06,1.89377622847e-06
6.79041118061e-07,1.22266761428e-06
7.62558837595e-07,1.03613021406e-06
1.13967768333e-06,1.06370958813e-06
8.4917095978e-07,1.00162731459e-06
1.05662273322e-06,1.94913543457e-06
7.36184327042e-07,4.08768567105e-06
1.22302426039e-06,1.20075942511e-06
1.02012567119e-06,1.88092367194e-06
9.26090741364e-07,1.15706840359e-06
8.42979260497e-07,1.33298053135e-06
8.62980738671e-07,2.47746926457e-06
9.10467062903e-07,1.90054804719e-06
9.8325155598e-07,8.6682406216e-07
8.09265389018e-07,1.08996304618e-06
1.07810077279e-06,2.10314076749e-06
8.80759318482e-07,1.77253533598e-06
1.17505762138e-06,1.29166479217e-06
7.20675504095e-07,1.28815073729e-06
8.55490359364e-07,2.43232817077e-06
1.11793043034e-06,1.00350450148e-06
7.21598792212e-07,1.26860107084e-06
8.22340281943e-07,1.61763111872e-06
9.93861432917e-07,1.55495798179e-06
7.68406007668e-07,1.15175203133e-06
1.17356848424e-06,1.5465396732e-06
7.36895358145e-07,1.72648609557e-06
1.12925767526e-06,1.99600993814e-06
8.51573952343e-07,1.85984135892e-06
9.15086025736e-07,9.35021121211e-06
1.27810621613e-06,1.17184252845e-06
7.57147318369e-07,1.65124796203e-06
7.46221428123e-07,1.4295313707e-06
9.07437579309e-07,8.30811598723e-06
1.0029112617e-06,9.46489556299e-07
1.31189633194e-06,1.48333141441e-06
7.61846095e-07,5.64259067835e-06
7.5095610576e-07,1.1183645747e-06
1.06312464903e-06,2.6826212157e-06
1.09985418609e-06,3.7389643167e-06
7.77145823152e-07,1.01070451134e-06
9.17804018433e-07,1.38159416549e-06
7.49004113837e-07,1.24148397036e-06
9.84188644523e-07,2.23188739777e-06
9.15743726894e-07,1.64325553406e-06
9.79653390392e-07,9.82302634382e-07
7.10467654275e-07,2.55986763014e-06
7.71962538394e-07,1.11588838497e-06
7.12502958218e-07,7.37752118269e-06
8.85170151745e-07,1.09813791853e-06
7.79599690604e-07,1.33801620916e-06
1.38057091391e-06,3.76679330444e-06
5.04760601275e-07,1.48527664209e-06
9.74509306393e-07,8.40225048478e-07
7.73434906918e-07,8.33336074652e-07
8.09313347873e-07,2.32138706481e-06
9.26099643342e-07,7.03244150326e-06
9.40921224602e-07,7.90144519605e-07
5.46902589973e-07,8.44073565759e-07
1.11899177049e-06,1.28777839925e-06
5.71747293022e-07,2.0238927006e-06
8.85946471768e-07,7.19356514294e-06
8.71945347983e-07,9.54643704606e-07
1.20282912508e-06,1.4724786464e-06
5.22496318987e-07,8.68679256323e-07
7.78395413544e-07,2.01090267159e-06
8.69365672022e-07,3.37938850224e-06
6.06012669709e-07,1.14482500151e-06
1.011403915e-06,1.09500454746e-06
1.06296171266e-06,2.72007040857e-06
8.25353017294e-07,9.14029221621e-07
6.6206704665e-07,1.90021636884e-06
8.38428356146e-07,4.39260972906e-06
7.04718663999e-07,1.98991684356e-06
6.33638921923e-07,1.28311865052e-06
1.32327640819e-06,8.35946233137e-07
5.19955256817e-07,9.97443335588e-07
8.08661250934e-07,1.61918027705e-06
1.19817614282e-06,1.19686538501e-06
5.97482416476e-07,1.64001868179e-06
7.95757763923e-07,1.83153610039e-06
8.49389006726e-07,4.47822444878e-06
6.71924283244e-07,2.14721192707e-06
8.36626031921e-07,3.91246437063e-06
8.85219521649e-07,1.04397784221e-06
5.82286764745e-07,3.09176799154e-06
8.64402065457e-07,1.25991224202e-06
6.74255259823e-07,1.11162746585e-06
1.00931795455e-06,8.7930383387e-07
4.95629568745e-07,3.65885200387e-06
8.39865392585e-07,1.59459837602e-06
9.64162374661e-07,1.63051833676e-06
6.96858470789e-07,1.73137379395e-06
6.79684156775e-07,8.81500334304e-07
8.71602061334e-07,3.47629407398e-06
7.04599809606e-07,9.53391937934e-07
7.7959175722e-07,1.36175104155e-06
7.53665537801e-07,9.82660806599e-07
8.06876380407e-07,1.41271162979e-06
7.06749462455e-07,1.43744594053e-06
8.11885792744e-07,1.19352959852e-06
8.01708803557e-07,7.37595451848e-07
7.53143455001e-07,1.63026194256e-06
8.07569174152e-07,1.15445753702e-06
6.61755503682e-07,7.63752867739e-07
7.75154890322e-07,1.25957178637e-06
6.84912358299e-07,8.21140098581e-07
1.06175402939e-06,1.81026474787e-06
5.38366573896e-07,9.57718623078e-07
8.89804636208e-07,8.63430271891e-07
6.73047888234e-07,1.96450879047e-06
8.9929011637e-07,3.3521213438e-06
5.66394110218e-07,7.03515465454e-07
7.68694194195e-07,2.87170993715e-06
8.31989106286e-07,1.57734607934e-06
6.73571789571e-07,8.96443316924e-07
6.64035292331e-07,1.10597969844e-06
7.80477381627e-07,3.94331888676e-06
6.87441050493e-07,1.74954291314e-06
8.36252090192e-07,9.37216125444e-07
6.79995803078e-07,4.35623276682e-06
7.12120619005e-07,1.1567165694e-06
6.79329620622e-07,1.50448350882e-06
9.35119008332e-07,7.09084162166e-07
7.07031820669e-07,9.89498855068e-07
7.55009281406e-07,1.11172596435e-06
6.18046765408e-07,3.02802669738e-06
6.82005483386e-07,1.39419904133e-06
8.6842556949e-07,1.81548725773e-06
4.86446006827e-07,1.21989762589e-06
7.88676809501e-07,4.68367885555e-06
7.19403141544e-07,4.07993591013e-06
7.24787542295e-07,9.11942324686e-07
7.48831940403e-07,1.04023151589e-06
6.14446322481e-07,8.45660881793e-07
6.4008130049e-07,1.67557626317e-06
8.1256444103e-07,2.95882361146e-06
8.99843645094e-07,8.57897035196e-07
9.101905634e-07,1.76504120923e-06
4.16209152974e-07,6.74739041927e-07
6.92896924836e-07,7.86819747471e-07
8.03531782245e-07,1.84891563862e-06
4.30445326902e-07,9.59036079147e-07
7.10130479805e-07,1.9396336363e-06
1.21671924525e-06,7.32559622958e-07
5.5472916722e-07,1.77567403333e-06
8.49824231935e-07,7.77938654143e-07
5.88915882494e-07,2.31133644721e-06
5.44331200313e-07,9.38446706495e-07
6.93344764744e-07,7.16401116673e-07
5.88456845828e-07,1.45573838122e-06
8.89375850984e-07,1.17100941963e-06
6.11294000554e-07,2.24705543088e-06
7.20734992693e-07,1.30061281559e-06
4.6972440412e-07,7.76812403665e-07
7.01966187451e-07,1.8122918736e-06
6.91829707275e-07,1.97045164004e-06
6.80528710008e-07,2.44492456877e-06
5.58036599785e-07,7.01037814968e-07
8.50443776172e-07,4.58419945886e-06
5.77453017393e-07,1.78961084298e-06
7.3372963582e-07,9.44080139659e-07
5.28166613975e-07,8.63162598381e-07
7.51942121985e-07,7.11779904826e-07
7.7340248496e-07,7.33302988331e-07
6.39201867239e-07,8.36112407848e-07
6.59920407707e-07,1.16985895674e-06
7.34776075703e-07,1.88097231957e-06
5.40557366115e-07,7.73841625602e-07
9.51126816527e-07,8.74076746995e-07
5.33152814804e-07,1.47823401704e-06
6.85327943431e-07,8.58720578779e-07
5.7705148013e-07,8.74321046634e-07
6.63080460694e-07,1.35938057764e-06
5.6314414165e-07,6.50388232401e-07
8.08192320208e-07,9.16377477168e-07
4.66597761578e-07,1.11715933441e-06
7.6431991307e-07,6.24718182376e-07
6.49556812376e-07,8.4805648139e-07
7.58490791185e-07,1.09051399691e-06
6.24628392144e-07,1.66955420323e-06
6.8573573427e-07,8.08340257643e-07
5.65325129317e-07,1.02729515907e-06
6.50713341638e-07,1.69179934606e-06
5.87996371119e-07,7.34088967051e-07
6.9397537101e-07,6.76607267345e-07
6.2171022697e-07,8.41069409143e-07
5.45814553597e-07,3.39608967144e-06
1.13344030446e-06,6.55042626283e-07
3.92046147882e-07,6.87982523447e-07
7.84579052943e-07,6.37654183848e-07
4.54924136947e-07,1.48113595519e-06
7.1100751852e-07,7.86654475249e-07
4.76801781751e-07,1.13470623892e-06
7.5202293231e-07,7.20868217429e-07
1.05399270542e-06,7.10657168247e-07
4.44669944925e-07,7.05957860164e-07
6.86877131686e-07,1.16487607838e-06
7.6922375112e-07,6.93678039175e-07
4.91989681264e-07,2.33063783315e-06
5.65164936174e-07,6.67675647738e-07
8.03452959411e-07,2.31212554465e-06
5.95480188364e-07,1.91977376829e-06
5.07421801223e-07,1.23735522018e-06
7.28444298563e-07,1.07040704465e-06
8.17206773411e-07,2.31394531745e-06
6.65410115633e-07,8.1282819337e-07
4.41601537746e-07,1.42428240532e-06
7.07649919273e-07,2.01854901679e-06
5.58061008991e-07,9.39872337432e-07
5.76298112257e-07,6.35458026726e-07
6.99775131987e-07,6.6257509451e-07
7.24632416204e-07,7.43565626071e-07
4.79604888905e-07,1.16818224316e-06
6.50660418798e-07,8.62186182102e-07
6.98916687422e-07,1.09496938535e-06
5.62312725045e-07,6.70802168684e-07
4.21796337036e-07,5.41409774274e-07
6.81218195464e-07,1.91906446124e-06
6.3632786025e-07,6.96784058237e-07
6.78980693236e-07,1.9044121915e-06
4.96899727365e-07,7.56746318482e-07
6.38650032364e-07,1.42141535799e-06
6.95811233961e-07,9.82557905436e-07
6.41048607925e-07,1.57200713324e-06
