TRAINING,VALIDATION
0.00464567036734,0.00144056336578
0.00073022915795,0.000459089474788
0.000434104160203,0.000323554788947
0.000292805672486,0.000275158779
0.000191928047404,0.000247942156988
0.000117314084563,0.000260807840034
7.11329210708e-05,0.000235831160069
4.4278867501e-05,0.00015026663762
3.03276187062e-05,7.65004816392e-05
2.34147934993e-05,6.30878375866e-05
2.13913723356e-05,0.000126328672841
1.73974501487e-05,6.40741437746e-05
1.64770271495e-05,6.29071684878e-05
1.39457720902e-05,2.40155539676e-05
1.28314423599e-05,7.21248700775e-05
1.17832188127e-05,5.37992498853e-05
1.20474062408e-05,4.84132853036e-05
1.09566278011e-05,5.19538863453e-05
1.00130238833e-05,2.45656665341e-05
9.89241002626e-06,1.49645789878e-05
8.16487689956e-06,1.93116626051e-05
9.1350399464e-06,1.29716250383e-05
6.88083601804e-06,1.36303781958e-05
8.68555761426e-06,2.59824853864e-05
7.46461590477e-06,1.06433818407e-05
7.35437835589e-06,1.99612159194e-05
7.35902413191e-06,2.51665059814e-05
5.68853588016e-06,1.04213471796e-05
7.26104690284e-06,1.32895298573e-05
6.51335160694e-06,8.5511848115e-06
4.76959592339e-06,1.17227851013e-05
6.073834552e-06,1.50595444038e-05
4.93128614641e-06,1.28825191564e-05
6.01633292854e-06,1.39507804088e-05
4.84688955738e-06,2.89651011454e-05
6.63376166882e-06,7.27336420213e-06
5.06414435305e-06,6.36820669231e-06
5.27881432704e-06,1.54530704605e-05
5.05740552261e-06,6.35383022031e-06
6.14545234817e-06,8.36671507197e-06
3.45563216695e-06,6.94096206541e-06
5.2976567385e-06,6.59400193559e-06
4.2037161151e-06,2.35516241709e-05
3.5720540111e-06,7.15234185238e-06
3.46730846388e-06,8.04651330743e-06
5.48836010213e-06,6.40980525924e-06
3.37296911268e-06,7.98327380123e-06
4.58756783673e-06,9.93096735151e-06
3.97210553013e-06,1.86021949723e-05
5.02401345922e-06,5.89644946725e-06
3.51501030442e-06,9.16840510778e-06
4.2036341904e-06,5.44576202155e-06
4.30716528416e-06,5.6056717413e-06
3.80521562849e-06,2.50808271378e-05
3.14244987306e-06,4.62741333132e-06
4.41023619205e-06,4.70517230231e-06
3.48646965277e-06,4.19250090898e-06
3.52275405715e-06,5.44858160581e-06
3.82323607242e-06,1.17565526474e-05
4.07662562798e-06,4.86444942857e-06
3.19462674151e-06,2.05727332817e-05
3.1930322458e-06,4.4623608002e-06
3.47477580924e-06,3.23681623446e-05
3.32964848588e-06,1.77256893584e-05
2.86254427445e-06,4.90355605982e-06
4.03507636242e-06,5.7268720453e-06
2.72639253058e-06,8.03044349277e-06
3.25798261762e-06,6.34968451583e-06
3.27857209313e-06,5.30046772002e-06
2.88358518864e-06,3.78554906825e-06
3.46776002129e-06,7.75615065815e-06
2.94346549386e-06,4.46731084017e-06
2.86623526759e-06,6.34629534415e-06
2.8744852232e-06,1.09685168861e-05
2.51398177079e-06,5.39578186439e-06
3.69035757628e-06,8.56857649124e-06
2.44696663498e-06,3.88081003282e-06
3.04682222588e-06,1.0948687265e-05
3.17778297723e-06,3.86966744815e-06
2.97006772558e-06,4.871357151e-06
2.18592298574e-06,5.29206976303e-06
3.60560012091e-06,7.90809258143e-06
2.55690186539e-06,6.33787508555e-06
3.01633130875e-06,3.14675073014e-06
2.83233239425e-06,2.78061728099e-06
2.75137314776e-06,2.79671006204e-06
2.36841678709e-06,7.77185314862e-06
2.99824989435e-06,7.87318781166e-06
2.25993730141e-06,3.44633598282e-06
2.38269105169e-06,4.30546093838e-05
3.90936469069e-06,8.47696790674e-06
2.24523304303e-06,2.88509085955e-06
2.38829416036e-06,3.08179803918e-06
2.52431162617e-06,1.04168812201e-05
2.1776802837e-06,5.19620261037e-06
2.80656539826e-06,4.89596575645e-06
2.79399325207e-06,5.92588560785e-06
1.75922064829e-06,6.27648449768e-06
2.54155239328e-06,5.76443641568e-06
2.3410553708e-06,2.27598834897e-06
2.63738093805e-06,4.22512837406e-06
1.99334095408e-06,4.68753360183e-06
2.66475540377e-06,1.32422989535e-05
2.27976908222e-06,7.18233491737e-06
2.21261026895e-06,2.92522049851e-06
2.59105051104e-06,6.39439405512e-06
2.13158670705e-06,2.19197961743e-06
2.70207479479e-06,3.66763183977e-06
2.08503632683e-06,2.18076256329e-06
2.64434303219e-06,4.3145432265e-06
2.55535970593e-06,2.20868805996e-06
2.05447945248e-06,6.82580662065e-06
1.82701775976e-06,2.34099870516e-06
2.48347950507e-06,1.05352051439e-05
1.61100468402e-06,4.02291748273e-06
1.98785452132e-06,2.70517062035e-06
3.05698376174e-06,3.96742133941e-06
2.19065896914e-06,3.78633432548e-06
1.2819251776e-06,2.77998184619e-06
2.78461438833e-06,2.18938847954e-06
1.43377976345e-06,7.63195776659e-06
2.08082581462e-06,2.81964904166e-06
2.68608536538e-06,2.34078092325e-06
1.88598453865e-06,3.16010406287e-06
1.988829826e-06,2.30522503133e-06
2.2773516127e-06,2.76975092247e-06
1.6988851172e-06,3.63780451512e-06
2.98903997686e-06,2.68299951824e-06
1.75793168537e-06,2.41922314274e-06
1.65433483102e-06,2.44106934671e-06
1.87571020167e-06,2.82447585041e-06
2.15358414907e-06,6.22391676511e-06
2.10755083107e-06,2.35044736994e-06
1.47249480541e-06,1.68627771495e-06
2.44839374011e-06,1.96989151152e-06
1.58080706945e-06,2.04363142345e-06
1.58362857303e-06,5.13140184063e-06
2.18980324274e-06,1.80052414797e-06
2.02106369984e-06,1.90647367414e-05
1.59497989431e-06,1.70950313795e-06
1.88112948829e-06,2.65513814744e-06
1.76870254212e-06,5.66694125287e-06
1.64937812508e-06,1.94784683839e-06
1.96725370039e-06,3.5527573357e-06
2.22876883675e-06,2.44812947486e-06
2.16181368149e-06,3.02982019465e-06
1.25820673988e-06,6.06479630283e-06
1.84542444459e-06,2.45702959611e-06
1.9589048825e-06,1.87862593671e-06
1.66500743901e-06,4.10706420061e-06
1.54782090079e-06,2.29004255481e-06
1.92872850124e-06,6.38788293734e-06
1.66488775445e-06,6.20747487427e-06
1.60803062922e-06,2.12136635848e-06
1.54689294891e-06,6.82227671732e-06
1.99461010359e-06,6.07444861512e-06
1.90266006761e-06,1.84653482488e-06
1.41451865537e-06,5.37105336574e-06
1.76446638557e-06,3.26151817602e-06
1.52692423107e-06,2.87951120594e-06
