TRAINING,VALIDATION
0.00510656328778,0.00130793414926
0.00070042978665,0.000296496493559
0.000140391371619,0.000167295098693
6.95951532028e-05,8.79956567123e-05
5.0516172967e-05,8.09657353689e-05
4.21816739049e-05,6.51314778776e-05
3.38678369741e-05,6.54392344339e-05
2.86590654888e-05,5.8695696051e-05
2.62740123059e-05,8.52157269419e-05
2.26314703219e-05,5.3481424758e-05
2.19495025653e-05,3.82589628097e-05
1.97937736637e-05,5.70634819065e-05
1.64506641348e-05,5.01809867793e-05
1.53413357012e-05,9.17579262259e-05
1.64468656272e-05,3.26685205825e-05
1.40942593445e-05,2.80205778414e-05
1.22093350222e-05,3.47921099482e-05
1.28591159788e-05,2.17638126977e-05
1.07778174568e-05,2.09895580187e-05
1.14731091279e-05,3.04650836333e-05
1.0289983366e-05,2.3155052134e-05
1.04384336451e-05,4.88470536397e-05
8.87688452841e-06,3.06856256363e-05
9.89657040537e-06,3.08145085814e-05
8.428931622e-06,1.6917558997e-05
9.0604934007e-06,1.63664413901e-05
7.61748171854e-06,1.58525574566e-05
6.82320754355e-06,2.2780600981e-05
7.5013845215e-06,1.35681549905e-05
7.66424662847e-06,1.52724677164e-05
8.64266075995e-06,1.76615872068e-05
6.40208385433e-06,1.89996192333e-05
5.87416283572e-06,1.24016013163e-05
7.23767190694e-06,2.73978859374e-05
7.16165877109e-06,1.21984309574e-05
6.06396221205e-06,2.78444466279e-05
6.46183026735e-06,1.58549426206e-05
5.86396970715e-06,1.15008555915e-05
6.03517638929e-06,1.00671349103e-05
5.68974078173e-06,9.30822228958e-06
5.0891530497e-06,2.06437168494e-05
4.74071489e-06,1.31594833954e-05
4.90282020302e-06,1.10172804005e-05
5.51885577009e-06,1.48768136279e-05
4.91489016031e-06,1.32417592235e-05
5.37064684823e-06,1.62588281838e-05
6.19280916574e-06,8.04274745367e-06
4.68642026564e-06,1.34165252385e-05
4.2555032252e-06,1.70683941268e-05
5.5776329128e-06,1.17862623105e-05
6.51107581345e-06,2.10409789109e-05
5.15493494715e-06,1.09603645289e-05
5.23355447891e-06,1.72522685338e-05
4.51302997765e-06,1.04866555776e-05
4.17726824249e-06,2.65695745984e-05
4.28525840686e-06,1.81384241787e-05
5.41386682303e-06,1.19912230664e-05
4.48525263397e-06,8.45638028946e-06
4.56317000528e-06,7.81531792823e-06
4.06942775193e-06,6.29965549024e-06
4.00421603654e-06,1.5932121958e-05
3.75351893298e-06,1.44100828292e-05
5.47060916435e-06,6.24342240245e-06
3.48221831546e-06,8.98673956656e-05
4.90956930244e-06,2.44293653456e-05
4.18751009482e-06,7.19141589427e-06
2.61371234776e-06,1.13658901692e-05
4.55044744666e-06,1.7377110198e-05
3.98642426999e-06,7.11755445576e-06
4.5439406146e-06,1.72734318975e-05
4.56152906387e-06,6.02553688327e-06
3.09749312955e-06,9.15414842821e-06
3.63667675421e-06,2.72492490475e-05
3.97253587008e-06,1.96612042428e-05
3.66077462197e-06,1.16948206037e-05
3.42514348592e-06,1.44203065903e-05
3.49630966615e-06,3.69198576543e-05
4.62619217968e-06,4.72541391094e-06
4.28561665464e-06,5.32334526902e-05
2.82284449528e-06,5.53161555107e-06
3.29069236726e-06,5.88727440844e-06
3.08798397242e-06,5.22203252987e-06
2.32077168893e-06,5.15860765356e-06
2.96539805406e-06,4.92181925807e-06
3.71795946108e-06,4.98804042553e-06
3.75486119049e-06,3.67610515401e-05
3.68705276753e-06,4.02994769999e-05
3.45731594176e-06,5.01764487217e-06
2.82375932932e-06,5.47128079982e-06
3.33130542546e-06,7.59474264082e-06
2.4494167573e-06,1.56461019257e-05
3.0317673133e-06,3.13986088643e-05
3.79366806095e-06,5.13055091543e-06
3.05548417382e-06,5.29484566625e-06
3.56215543498e-06,0.000247516111406
8.35825276218e-06,4.64655175656e-06
1.98148252312e-06,6.16982344825e-06
1.90074637287e-06,2.09446610223e-05
2.28463079022e-06,5.25457580503e-06
2.38172374967e-06,4.56922031484e-06
3.58100047688e-06,5.48225356281e-06
2.26966261986e-06,7.80029224124e-06
2.02759706806e-06,5.93257703174e-06
2.89547067321e-06,5.35387654982e-06
2.50802778606e-06,3.34931833238e-05
3.22945387344e-06,1.05312282012e-05
2.77665604853e-06,8.63117647362e-06
2.60172544718e-06,4.6968810357e-06
2.75679581854e-06,7.79947704607e-06
2.40190294318e-06,5.21790290358e-06
3.6279970068e-06,4.90213878396e-06
2.22307115617e-06,4.40078202392e-06
2.16474574533e-06,4.25160335601e-06
1.95755044584e-06,1.45318338318e-05
2.60844111983e-06,3.31682025455e-06
2.48595911626e-06,5.21333885335e-06
2.47743429505e-06,7.67189765761e-06
2.69988210004e-06,4.10045594758e-06
2.53976692894e-06,1.54269063118e-05
2.02068209023e-06,4.62136925223e-06
2.64676815732e-06,3.4448803736e-06
3.21402776474e-06,3.25994398261e-06
1.56641910095e-06,3.98892376859e-06
2.56927952949e-06,5.44705571746e-06
2.22372246323e-06,3.32981322334e-06
2.33259749759e-06,7.24642275521e-06
2.15674650351e-06,3.23325597508e-06
2.63928735503e-06,8.94955605709e-06
2.71087926243e-06,5.25803944102e-06
2.35433621585e-06,3.70420309433e-06
1.94166664856e-06,6.25275382943e-06
1.82466697181e-06,5.8838045074e-06
2.82991417075e-06,1.20094470948e-05
2.49445919104e-06,3.20625460179e-06
1.8118438883e-06,1.1167842404e-05
2.22677254018e-06,3.22988305965e-06
2.56712686687e-06,4.31868796767e-06
1.61410214269e-06,6.11777255015e-06
2.69216310384e-06,2.90924613482e-06
2.45336726478e-06,3.02315093887e-06
1.41991431631e-06,3.31756286754e-06
2.58551517111e-06,6.49562517594e-06
1.9512685994e-06,3.28761493469e-06
1.53365638966e-06,4.53737364238e-06
2.3892073165e-06,4.01538709661e-06
2.10692211032e-06,1.7405453379e-05
1.91550179885e-06,5.73157125958e-06
2.07455330196e-06,3.10993726135e-06
2.34180917205e-06,3.69529945829e-06
1.95005808021e-06,4.2065294182e-06
