TRAINING,VALIDATION
0.00629819460188,0.00310093568462
0.00155408957542,0.00188933333865
0.000617278566497,0.00086642295461
0.000268577042372,0.000367029309105
0.000127952103812,0.000200071461104
7.26487594636e-05,0.000182352313955
5.19371132897e-05,0.000177552213954
4.15440994308e-05,0.000146121332966
3.57744235949e-05,0.0001448896076
3.19345539603e-05,0.000128314980761
3.00564364309e-05,0.00010472948646
2.42598212027e-05,0.000110424722076
2.10057278565e-05,0.00012734641184
2.21416455171e-05,7.55395319397e-05
1.81298047321e-05,9.86786881619e-05
1.79478962195e-05,8.85959617973e-05
1.44157109533e-05,8.7545130164e-05
1.8166188777e-05,0.00010753342201
1.58647186714e-05,6.10689791063e-05
1.24494329714e-05,8.81821165967e-05
1.2624049504e-05,5.71725464457e-05
1.20401945427e-05,8.23087657763e-05
1.1408151514e-05,4.93404933112e-05
1.23421558064e-05,5.89657972914e-05
1.0487714167e-05,8.62974129485e-05
9.14724005146e-06,5.03199040561e-05
1.06212395483e-05,5.64778507093e-05
8.28888859776e-06,4.95640721476e-05
8.65945501844e-06,5.92819225693e-05
9.44798580006e-06,6.70598837429e-05
1.00418330102e-05,5.34416600416e-05
7.34999228278e-06,7.62948311939e-05
7.25249231436e-06,3.96411597032e-05
7.48858050639e-06,3.96688103294e-05
7.49545670096e-06,5.00396608935e-05
6.51553459423e-06,3.46580218365e-05
6.54126264374e-06,5.40376199602e-05
6.37663134623e-06,4.77345296621e-05
7.13123818696e-06,3.55389388771e-05
6.09278601119e-06,3.91825570414e-05
6.32932438141e-06,3.58496812346e-05
5.27549340251e-06,5.48329684137e-05
7.6288734771e-06,3.67064269877e-05
4.40592547115e-06,2.87681008148e-05
5.15966781084e-06,2.93749451014e-05
6.1923901137e-06,5.927066446e-05
4.79199710414e-06,5.03611043514e-05
5.42280698199e-06,3.09687709145e-05
5.20442240132e-06,2.69046211506e-05
4.42972519348e-06,5.16146838225e-05
5.82344444592e-06,3.42187955332e-05
5.59508583234e-06,3.73935666158e-05
4.78934089049e-06,2.44204029628e-05
5.85239038918e-06,2.37039439719e-05
4.07963888674e-06,4.37686914652e-05
5.93657542155e-06,2.98034604331e-05
4.45408763384e-06,2.25466492367e-05
4.20222947508e-06,6.90005091413e-05
5.59445255504e-06,1.86270089522e-05
3.65482048507e-06,3.28402186678e-05
6.31961154936e-06,2.80998882101e-05
3.76406331902e-06,2.77177139984e-05
3.62925794105e-06,2.21030381058e-05
5.23742262394e-06,1.81800643803e-05
4.46780898493e-06,1.9791232189e-05
3.80808933145e-06,1.87848471236e-05
4.77022469049e-06,2.00871411751e-05
4.77399529018e-06,2.43486819198e-05
3.2675925883e-06,1.88246029589e-05
4.14973562211e-06,1.87243987542e-05
4.47646662324e-06,1.65073654834e-05
3.08132916603e-06,1.88943758299e-05
4.62494189863e-06,1.72514634643e-05
3.78991542136e-06,1.44721334881e-05
4.43730766274e-06,2.9723221863e-05
3.25764882855e-06,4.0024806044e-05
3.01838668553e-06,1.58160778317e-05
3.59416199052e-06,2.18457754025e-05
4.0785723243e-06,1.47179218387e-05
3.85835375886e-06,1.30965071578e-05
3.91160867335e-06,1.66905558615e-05
3.3909625909e-06,1.56558301629e-05
4.00472343037e-06,1.23551153147e-05
2.91485491016e-06,1.81313247214e-05
4.34917263163e-06,1.4879211141e-05
3.30380202784e-06,1.27435118161e-05
2.37780599563e-06,1.91328870857e-05
3.65703889294e-06,1.33237873722e-05
3.06223095453e-06,1.99642203524e-05
3.18669700867e-06,1.42792201062e-05
3.49180835394e-06,1.090724078e-05
2.63167852352e-06,1.62400573054e-05
3.49430106157e-06,1.33455951052e-05
3.53807676209e-06,2.54648661613e-05
3.25187499129e-06,1.1660221484e-05
2.47488023119e-06,1.12260974072e-05
3.59194596689e-06,1.61608466988e-05
2.85883217336e-06,1.24424289968e-05
2.87400431361e-06,1.80516702469e-05
3.30732374323e-06,1.0673873563e-05
2.37763243073e-06,1.39972798286e-05
3.1743855214e-06,1.00234116149e-05
3.07428294571e-06,7.71419351527e-06
2.42144709181e-06,8.20490710462e-06
3.98162170475e-06,1.40001833026e-05
2.0917009007e-06,1.04673971823e-05
2.94424571122e-06,9.13808046394e-06
2.10092809021e-06,1.20971182857e-05
2.23692544401e-06,9.60830453874e-06
3.710357882e-06,1.24720987433e-05
2.57771346399e-06,7.57927475122e-06
2.60553357304e-06,7.77591472071e-06
2.64589209037e-06,1.20573753703e-05
2.99227868584e-06,1.39415688992e-05
2.97426975006e-06,8.85948718573e-06
2.04164070076e-06,7.66563622599e-06
2.4192973263e-06,1.14156931993e-05
2.48798406207e-06,6.1695983347e-06
1.94266045948e-06,5.86300000885e-06
2.58181177057e-06,9.74410176679e-06
2.72057506767e-06,7.50630696002e-06
2.97383973481e-06,6.55272464474e-06
2.6857322503e-06,7.8739796912e-06
2.05624687497e-06,6.30529834033e-06
3.14227123165e-06,5.38873127014e-06
2.47379339821e-06,5.45067187926e-06
2.44181091953e-06,5.50197680633e-06
2.4642481848e-06,1.24086977625e-05
2.4260416941e-06,5.95400509198e-06
2.11070377043e-06,4.8749028233e-06
2.38989907515e-06,4.93116255967e-06
2.35797861595e-06,5.1965280199e-06
1.99453575724e-06,5.64076067407e-06
2.16370009417e-06,5.62780348297e-06
2.07895630611e-06,8.59841451639e-06
2.33017623377e-06,5.19093388159e-06
2.2456836736e-06,5.74252532303e-06
2.11990015306e-06,9.05142961453e-06
2.96618734106e-06,5.5268331892e-06
1.71845081636e-06,5.25004538604e-06
2.43477888897e-06,4.94757746861e-06
2.04507708982e-06,4.38150141737e-06
1.62039130868e-06,5.10704427946e-06
3.10484577789e-06,6.69314166923e-06
1.8103579645e-06,3.87780806872e-06
1.62944016972e-06,5.08450245559e-06
2.70696932201e-06,4.24291064402e-06
1.91758468117e-06,5.46703069783e-06
2.0006633139e-06,5.02552619873e-06
2.28589908452e-06,4.23648684252e-06
